# This file determines level based benefits.
#
# Complies with standard DnD progression and the Epic Level Handbook
#
# Equation used to calculate XP:
# xp = 500 * level * (level - 1)
#LEVEL:LEVEL	MINXP:(LEVEL*LEVEL-LEVEL)*500		CSKILLMAX:LEVEL+3		CCSKILLMAX:(LEVEL+3)/2
# $Id: level.lst,v 1.3 2003/03/27 00:59:51 tir-gwaith Exp $ 
#
LEVEL:0	MINXP:0		CSKILLMAX:3		CCSKILLMAX:1.5
LEVEL:1	MINXP:0		CSKILLMAX:4		CCSKILLMAX:2
LEVEL:2	MINXP:1000		CSKILLMAX:5		CCSKILLMAX:2.5
LEVEL:3	MINXP:3000		CSKILLMAX:6		CCSKILLMAX:3
LEVEL:4	MINXP:6000		CSKILLMAX:7		CCSKILLMAX:3.5
LEVEL:5	MINXP:10000		CSKILLMAX:8		CCSKILLMAX:4
LEVEL:6	MINXP:15000		CSKILLMAX:9		CCSKILLMAX:4.5
LEVEL:7	MINXP:21000		CSKILLMAX:10	CCSKILLMAX:5
LEVEL:8	MINXP:28000		CSKILLMAX:11	CCSKILLMAX:5.5
LEVEL:9	MINXP:36000		CSKILLMAX:12	CCSKILLMAX:6
LEVEL:10	MINXP:45000		CSKILLMAX:13	CCSKILLMAX:6.5
LEVEL:11	MINXP:55000		CSKILLMAX:14	CCSKILLMAX:7
LEVEL:12	MINXP:66000		CSKILLMAX:15	CCSKILLMAX:7.5
LEVEL:13	MINXP:78000		CSKILLMAX:16	CCSKILLMAX:8
LEVEL:14	MINXP:91000		CSKILLMAX:17	CCSKILLMAX:8.5
LEVEL:15	MINXP:105000	CSKILLMAX:18	CCSKILLMAX:9
LEVEL:16	MINXP:120000	CSKILLMAX:19	CCSKILLMAX:9.5
LEVEL:17	MINXP:136000	CSKILLMAX:20	CCSKILLMAX:10
LEVEL:18	MINXP:153000	CSKILLMAX:21	CCSKILLMAX:10.5
LEVEL:19	MINXP:171000	CSKILLMAX:22	CCSKILLMAX:11
LEVEL:20	MINXP:190000	CSKILLMAX:23	CCSKILLMAX:11.5
LEVEL:21	MINXP:210000	CSKILLMAX:24	CCSKILLMAX:12
LEVEL:22	MINXP:231000	CSKILLMAX:25	CCSKILLMAX:12.5
LEVEL:23	MINXP:253000	CSKILLMAX:26	CCSKILLMAX:13
LEVEL:24	MINXP:276000	CSKILLMAX:27	CCSKILLMAX:13.5
LEVEL:25	MINXP:300000	CSKILLMAX:28	CCSKILLMAX:14
LEVEL:26	MINXP:325000	CSKILLMAX:29	CCSKILLMAX:14.5
LEVEL:27	MINXP:351000	CSKILLMAX:30	CCSKILLMAX:15
LEVEL:28	MINXP:378000	CSKILLMAX:31	CCSKILLMAX:15.5
LEVEL:29	MINXP:406000	CSKILLMAX:32	CCSKILLMAX:16
LEVEL:30	MINXP:435000	CSKILLMAX:33	CCSKILLMAX:16.5
LEVEL:31	MINXP:465000	CSKILLMAX:34	CCSKILLMAX:17
LEVEL:32	MINXP:496000	CSKILLMAX:35	CCSKILLMAX:17.5
LEVEL:33	MINXP:528000	CSKILLMAX:36	CCSKILLMAX:18
LEVEL:34	MINXP:561000	CSKILLMAX:37	CCSKILLMAX:18.5
LEVEL:35	MINXP:595000	CSKILLMAX:38	CCSKILLMAX:19
LEVEL:36	MINXP:630000	CSKILLMAX:39	CCSKILLMAX:19.5
LEVEL:37	MINXP:666000	CSKILLMAX:40	CCSKILLMAX:20
LEVEL:38	MINXP:703000	CSKILLMAX:41	CCSKILLMAX:20.5
LEVEL:39	MINXP:741000	CSKILLMAX:42	CCSKILLMAX:21
LEVEL:40	MINXP:780000	CSKILLMAX:43	CCSKILLMAX:21.5
LEVEL:41	MINXP:820000	CSKILLMAX:44	CCSKILLMAX:22
LEVEL:42	MINXP:861000	CSKILLMAX:45	CCSKILLMAX:22.5
LEVEL:43	MINXP:903000	CSKILLMAX:46	CCSKILLMAX:23
LEVEL:44	MINXP:946000	CSKILLMAX:47	CCSKILLMAX:23.5
LEVEL:45	MINXP:990000	CSKILLMAX:48	CCSKILLMAX:24
LEVEL:46	MINXP:1035000	CSKILLMAX:49	CCSKILLMAX:24.5
LEVEL:47	MINXP:1081000	CSKILLMAX:50	CCSKILLMAX:25
LEVEL:48	MINXP:1128000	CSKILLMAX:51	CCSKILLMAX:25.5
LEVEL:49	MINXP:1176000	CSKILLMAX:52	CCSKILLMAX:26
LEVEL:50	MINXP:1225000	CSKILLMAX:53	CCSKILLMAX:26.5
LEVEL:51	MINXP:1275000	CSKILLMAX:54	CCSKILLMAX:27
LEVEL:52	MINXP:1326000	CSKILLMAX:55	CCSKILLMAX:27.5
LEVEL:53	MINXP:1378000	CSKILLMAX:56	CCSKILLMAX:28
LEVEL:54	MINXP:1431000	CSKILLMAX:57	CCSKILLMAX:28.5
LEVEL:55	MINXP:1485000	CSKILLMAX:58	CCSKILLMAX:29
LEVEL:56	MINXP:1540000	CSKILLMAX:59	CCSKILLMAX:29.5
LEVEL:57	MINXP:1596000	CSKILLMAX:60	CCSKILLMAX:30
LEVEL:58	MINXP:1653000	CSKILLMAX:61	CCSKILLMAX:30.5
LEVEL:59	MINXP:1711000	CSKILLMAX:62	CCSKILLMAX:31
LEVEL:60	MINXP:1770000	CSKILLMAX:63	CCSKILLMAX:31.5
LEVEL:61	MINXP:1830000	CSKILLMAX:64	CCSKILLMAX:32
LEVEL:62	MINXP:1891000	CSKILLMAX:65	CCSKILLMAX:32.5
LEVEL:63	MINXP:1953000	CSKILLMAX:66	CCSKILLMAX:33
LEVEL:64	MINXP:2016000	CSKILLMAX:67	CCSKILLMAX:33.5
LEVEL:65	MINXP:2080000	CSKILLMAX:68	CCSKILLMAX:34
LEVEL:66	MINXP:2145000	CSKILLMAX:69	CCSKILLMAX:34.5
LEVEL:67	MINXP:2211000	CSKILLMAX:70	CCSKILLMAX:35
LEVEL:68	MINXP:2278000	CSKILLMAX:71	CCSKILLMAX:35.5
LEVEL:69	MINXP:2346000	CSKILLMAX:72	CCSKILLMAX:36
LEVEL:70	MINXP:2415000	CSKILLMAX:73	CCSKILLMAX:36.5
LEVEL:71	MINXP:2485000	CSKILLMAX:74	CCSKILLMAX:37
LEVEL:72	MINXP:2556000	CSKILLMAX:75	CCSKILLMAX:37.5
LEVEL:73	MINXP:2628000	CSKILLMAX:76	CCSKILLMAX:38
LEVEL:74	MINXP:2701000	CSKILLMAX:77	CCSKILLMAX:38.5
LEVEL:75	MINXP:2775000	CSKILLMAX:78	CCSKILLMAX:39
LEVEL:76	MINXP:2850000	CSKILLMAX:79	CCSKILLMAX:39.5
LEVEL:77	MINXP:2926000	CSKILLMAX:80	CCSKILLMAX:40
LEVEL:78	MINXP:3003000	CSKILLMAX:81	CCSKILLMAX:40.5
LEVEL:79	MINXP:3081000	CSKILLMAX:82	CCSKILLMAX:41
LEVEL:80	MINXP:3160000	CSKILLMAX:83	CCSKILLMAX:41.5
LEVEL:81	MINXP:3240000	CSKILLMAX:84	CCSKILLMAX:42
LEVEL:82	MINXP:3321000	CSKILLMAX:85	CCSKILLMAX:42.5
LEVEL:83	MINXP:3403000	CSKILLMAX:86	CCSKILLMAX:43
LEVEL:84	MINXP:3486000	CSKILLMAX:87	CCSKILLMAX:43.5
LEVEL:85	MINXP:3570000	CSKILLMAX:88	CCSKILLMAX:44
LEVEL:86	MINXP:3655000	CSKILLMAX:89	CCSKILLMAX:44.5
LEVEL:87	MINXP:3741000	CSKILLMAX:90	CCSKILLMAX:45
LEVEL:88	MINXP:3828000	CSKILLMAX:91	CCSKILLMAX:45.5
LEVEL:89	MINXP:3916000	CSKILLMAX:92	CCSKILLMAX:46
LEVEL:90	MINXP:4005000	CSKILLMAX:93	CCSKILLMAX:46.5
LEVEL:91	MINXP:4095000	CSKILLMAX:94	CCSKILLMAX:47
LEVEL:92	MINXP:4186000	CSKILLMAX:95	CCSKILLMAX:47.5
LEVEL:93	MINXP:4278000	CSKILLMAX:96	CCSKILLMAX:48
LEVEL:94	MINXP:4371000	CSKILLMAX:97	CCSKILLMAX:48.5
LEVEL:95	MINXP:4465000	CSKILLMAX:98	CCSKILLMAX:49
LEVEL:96	MINXP:4560000	CSKILLMAX:99	CCSKILLMAX:49.5
LEVEL:97	MINXP:4656000	CSKILLMAX:100	CCSKILLMAX:50
LEVEL:98	MINXP:4753000	CSKILLMAX:101	CCSKILLMAX:50.5
LEVEL:99	MINXP:4851000	CSKILLMAX:102	CCSKILLMAX:51
LEVEL:100	MINXP:4950000	CSKILLMAX:103	CCSKILLMAX:51.5
#
# end
#
