#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00
# COMMENT: Some non-defined weapons commented out; may be wrong names, may not exist
# COMMENT: Some may require a bestiary to be loaded

# COMMENT: TEMPBONUS doesn't seem to apply to equipment; at least, they don't seem to be showing up
# COMMENT:     in the temporary bonus tab

# COMMENT: It is not intuitive for the user to click on "Create Monster" in the Summary tab to
# COMMENT:     add <class>'s Kit items to the character

###Block: Adding types to some armors and weapons, so they can be identified
# COMMENT: There should be an easier way
# Equipment Name		Type
Leather.MOD			TYPE:LeatherArmor
Hide.MOD			TYPE:HideArmor
Brass Knuckles.MOD	TYPE:BrawlingAbilityOK
Cestus.MOD			TYPE:BrawlingAbilityOK
Sap.MOD			TYPE:BrawlingAbilityOK
Crossbow (Hand).MOD	TYPE:InspiredOK
Rapier.MOD			TYPE:InspiredOK
Sword (Short).MOD		TYPE:InspiredOK
Shortbow.MOD		TYPE:InspiredOK
Sword Cane.MOD		TYPE:InspiredOK
Whip.MOD			TYPE:PrehensileOK

###Block: Adding types to manacles for Slayer's Manacles choice
# Equipment Name		Type
Manacles (Small).MOD	TYPE:Manacles
Manacles (Medium).MOD	TYPE:Manacles
Manacles (Large).MOD	TYPE:Manacles
Manacles (Huge).MOD	TYPE:Manacles


Fake Rapier			TYPE:Weapon.Melee.Piercing.Weapon Group Melee OneHanded Piercing	PROFICIENCY:WEAPON|Rapier	DAMAGE:1d6	SPROP:Tests

###Block: Brawler's Flurry
# COMMENT: Can the weapon's damage be modified?
# WORKARAOUND: use an SPROP comment
# NEEDS OS WORK?: Needs adjustment similar to monk's flurry of blows
# Equipment Name			Required Weapon Proficiency		Type													Cost		Weight	Crit Mult	Crit Range	Wield Category	Requires Modification?	Size		Source Page		Weapon prop. bonus													Special Property
Brawler's Flurry			PROFICIENCY:WEAPON|Unarmed Strike	TYPE:Weapon.Resizable.Melee.Special.Unarmed.Bludgeoning.Finesseable.Close	COST:0	WT:0		CRITMULT:x2	CRITRANGE:1	WIELD:Light		MODS:NO			SIZE:M	SOURCEPAGE:p.23	BONUS:WEAPON|ATTACKS|BrawlersFlurryExtraAttacks	BONUS:WEAPON|TOHIT|BrawlersFlurryAttackPenalty	SPROP:Use unarmed damage


### Block: Swashbuckler's Finesse support
# These should be moved to their various sources

# CR
Dagger (Base).MOD									TYPE:Weapon Group Melee Light Piercing																											BONUS:WEAPON|TOHIT|-SwashbucklersFinesseToHit									SPROP:+% to melee attacks from Swashbuckler's Finesse [not reflected on combat block]|SwashbucklersFinesseToHit
Dagger (Punching).MOD								TYPE:Weapon Group Melee Light Piercing
Pick (Light).MOD									TYPE:Weapon Group Melee Light Piercing
Spiked Armor.MOD									TYPE:Weapon Group Melee Light Piercing
Starknife.MOD									TYPE:Weapon Group Melee Light Piercing
Sword (Short).MOD									TYPE:Weapon Group Melee Light Piercing
Siangham.MOD									TYPE:Weapon Group Melee Light Piercing
Morningstar.MOD									TYPE:Weapon Group Melee OneHanded Piercing
Shortspear.MOD									TYPE:Weapon Group Melee OneHanded Piercing
Pick (Heavy).MOD									TYPE:Weapon Group Melee OneHanded Piercing
Rapier.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Trident (Base).MOD								TYPE:Weapon Group Melee OneHanded Piercing
Lance.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Ranseur.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Scythe.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Battleaxe.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Longsword.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Scimitar.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Whip.MOD										TYPE:Weapon Group Melee OneHanded Slashing

# APG
Cestus.MOD										TYPE:Weapon Group Melee Light Piercing
#Stake (Wood).MOD									TYPE:Weapon Group Melee Light Piercing
#Spirit Blade.MOD									TYPE:Weapon Group Melee Light Piercing
#Guarding Blade.MOD								TYPE:Weapon Group Melee Light Piercing
#Starknife (Sparkwake).MOD							TYPE:Weapon Group Melee Light Piercing
Sword Cane.MOD									TYPE:Weapon Group Melee OneHanded Piercing
#Trident of Stability.MOD							TYPE:Weapon Group Melee OneHanded Piercing

# ACG - these weapons are not sourced from the ACG
# COMMENTS: wrong name?
#Rending Claw Blades.MOD	TYPE:Weapon Group Melee Light Piercing
