# CVS $Revision: $ $Author: $ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Heart of the Jungle	SOURCESHORT:HotJ	SOURCEWEB:http://paizo.com/pathfinder/pathfinderChronicles/pathfinderRPG/v5748btpy8evh	SOURCEDATE:2010-07
# Original Entry by: Chris 'Barak' Chandler

### Posions
# Ability Name			Category of Ability	Type				Description																																																		Cost		Source Page
Spider Vine Poison		CATEGORY:Affliction	TYPE:Poison.Affliction	DESC:Poison, injury; Fort DC 15; Frequency 1/round for 6 rounds; Initial Effect paralysis; Secondary Effect 1d2 Con damage; Cure 2 consecutive saves																											COST:0	SOURCEPAGE:p.6

### Diseases
Bonecrusher (Dengue) Fever	CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 12; Onset 1 week; Frequency 1/day; Effect 1d4 Dex damage; Cure 2 consecutive saves																																	COST:0	SOURCEPAGE:p.7
Boot Soup				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fortitude DC 16; Onset 1 day; Frequency 1/day; Effect speed reduced by 5 feet and 1d3 Dex damage, creatures reduced to speed 0 feet are permanently paralyzed; Cure 2 consecutive saves, or completely skinning or burning the affected area (inflicting 1d8 points of damage)	COST:0	SOURCEPAGE:p.7
Brainworms				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (parasite), contact or injury; Fort DC 14; Onset 1 day; Frequency 1/day; Effect 1d3 Wis damage and 1d3 Int damage, if damaged in combat, target must make a second Fort save or gain the confused condition for the duration of the encounter; Cure 2 consecutive saves					COST:0	SOURCEPAGE:p.7
Dysentery				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (parasite), contact or injury; Fort DC 16; Onset 1d3 days; Frequency 1/day; Effect 1d6 nonlethal damage and target is fatigued and staggered; Cure 2 consecutive saves																						COST:0	SOURCEPAGE:p.7
Firegut				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease, injury or inhaled; Fort DC 17; Onset 1 day; Frequency 1/day; Effect target is staggered; Cure 3 consecutive saves																														COST:0	SOURCEPAGE:p.7
Green Haze				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fort DC 13; Onset 1 day; Frequency 1/day; Effect -4 on Perception checks, target is permanently blinded if fails 3 saves; Cure 2 consecutive saves																						COST:0	SOURCEPAGE:p.7
Greenscale				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 15; Onset 1d6 days; Frequency 1/week; Effect 1d2 Cha damage and 1d2 Dex damage, target must make a second Fort save or 1 point of the Cha damage is drain instead; Cure 2 consecutive saves															COST:0	SOURCEPAGE:p.7
Malaria (Jungle Fever)		CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 18; Onset 1d3 days; Frequency 1/day; Effect 1d3 Str damage and 1d3 Con damage and target is fatigued; Cure 2 consecutive saves																									COST:0	SOURCEPAGE:p.7
Pulsing Puffs			CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (fungus), injury; Fort DC 16; Onset 1 day; Frequency 1/day; Effect 1d4 Dex damage; Cure 2 consecutive saves																															COST:0	SOURCEPAGE:p.7
Red Drip				CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fort DC 18; Onset 1 day; Frequency 1/day; Effect 1d4 Dex damage and 1d2 Cha damage; Cure 2 consecutive saves or amputation of infected hand																							COST:0	SOURCEPAGE:p.8
Sleeping Sickness			CATEGORY:Affliction	TYPE:Disease.Affliction	DESC:Disease (parasite), injury; Fort DC 14; Onset 1d2 days; Frequency 1/day; Effect 1d4 Wis damage and target is fatigued; Cure 2 consecutive saves or arsenic (see text)																							COST:0	SOURCEPAGE:p.8
