#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Thu Nov 26 22:25:37 2015 -- reformated by PCGen PrettyLST v6.05.01
SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require ARG

# Spell Name			Type			Classes of caster
# Agonizing Rebuke appears on Mesmerist list at both L2 & L3...
# Spell Name			Type			Classes of caster
Agonizing Rebuke.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Agonizing Rebuke.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Bestow Insight.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=2
Blend.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Commune With Birds.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Delay Disease.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Fearsome Duplicate.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Forgetful Slumber.MOD		TYPE:Psychic	CLASSES:Mesmerist=4
Jitterbugs.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Major Phantom Object.MOD	TYPE:Psychic	CLASSES:Mesmerist=5
Minor Dream.MOD			TYPE:Psychic	CLASSES:Medium=2|Mesmerist=3
Minor Phantom Object.MOD	TYPE:Psychic	CLASSES:Mesmerist=4
Nixie's Lure.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Old Salt's Curse.MOD		TYPE:Psychic	CLASSES:Mesmerist=4
Paragon Surge.MOD			TYPE:Psychic	CLASSES:Medium=3
Recharge Innate Magic.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Resilient Reservoir.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Shadow Anchor.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Sow Thought.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Steal Breath.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Theft Ward.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Truespeak.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Village Veil.MOD			TYPE:Psychic	CLASSES:Mesmerist=5
Whispering Lore.MOD		TYPE:Psychic	CLASSES:Medium=1


# Psychic Spells:
blend.MOD				TYPE:Psychic	CLASSES:Psychic=1
recharge innate magic.MOD	TYPE:Psychic	CLASSES:Psychic=1
sow thought.MOD			TYPE:Psychic	CLASSES:Psychic=1
whispering lore.MOD		TYPE:Psychic	CLASSES:Psychic=1
ancestral regression.MOD	TYPE:Psychic	CLASSES:Psychic=2
bestow insight.MOD		TYPE:Psychic	CLASSES:Psychic=2
commune with birds.MOD		TYPE:Psychic	CLASSES:Psychic=2
jitterbugs.MOD			TYPE:Psychic	CLASSES:Psychic=2
savage maw.MOD			TYPE:Psychic	CLASSES:Psychic=2
shadow anchor.MOD			TYPE:Psychic	CLASSES:Psychic=2
agonizing rebuke.MOD		TYPE:Psychic	CLASSES:Psychic=3
blood scent.MOD			TYPE:Psychic	CLASSES:Psychic=3
fearsome duplicate.MOD		TYPE:Psychic	CLASSES:Psychic=3
minor dream.MOD			TYPE:Psychic	CLASSES:Psychic=3
nixie's lure.MOD			TYPE:Psychic	CLASSES:Psychic=3
forgetful slumber.MOD		TYPE:Psychic	CLASSES:Psychic=4
healing warmth.MOD		TYPE:Psychic	CLASSES:Psychic=4
minor phantom object.MOD	TYPE:Psychic	CLASSES:Psychic=4
resilient reservoir.MOD		TYPE:Psychic	CLASSES:Psychic=4
shadowy haven.MOD			TYPE:Psychic	CLASSES:Psychic=4
vomit twin.MOD			TYPE:Psychic	CLASSES:Psychic=4
half-blood extraction.MOD	TYPE:Psychic	CLASSES:Psychic=5
major phantom object.MOD	TYPE:Psychic	CLASSES:Psychic=5
truespeak.MOD			TYPE:Psychic	CLASSES:Psychic=5
village veil.MOD			TYPE:Psychic	CLASSES:Psychic=5


























