# CVS $Revision$ $Author$ -- Wed Feb  9 16:10:56 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01



# SRD Skills - Ability conversion to make any skill that is purchased with 6 or more CP a Class Skill as per Eclipse
#Craft (Untrained)								CATEGORY:Internal	CSKILL:x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)

#
# Ability Name								Category of Ability	Class Skill
Make CSKILL ~ Alchemy							CATEGORY:Internal		CSKILL:Alchemy
Make CSKILL ~ Animal Empathy						CATEGORY:Internal		CSKILL:Animal Empathy
Make CSKILL ~ Appraise							CATEGORY:Internal		CSKILL:Appraise
Make CSKILL ~ Balance							CATEGORY:Internal		CSKILL:Balance
Make CSKILL ~ Bluff							CATEGORY:Internal		CSKILL:Bluff
Make CSKILL ~ Climb							CATEGORY:Internal		CSKILL:Climb
Make CSKILL ~ Concentration						CATEGORY:Internal		CSKILL:Concentration
Make CSKILL ~ Craft (Armorsmithing)					CATEGORY:Internal		CSKILL:Craft (Armorsmithing)
Make CSKILL ~ Craft (Basketweaving)					CATEGORY:Internal		CSKILL:Craft (Basketweaving)
Make CSKILL ~ Craft (Blacksmithing)					CATEGORY:Internal		CSKILL:Craft (Blacksmithing)
Make CSKILL ~ Craft (Bookbinding)					CATEGORY:Internal		CSKILL:Craft (Bookbinding)
Make CSKILL ~ Craft (Bowmaking)					CATEGORY:Internal		CSKILL:Craft (Bowmaking)
Make CSKILL ~ Craft (Calligraphy)					CATEGORY:Internal		CSKILL:Craft (Calligraphy)
Make CSKILL ~ Craft (Carpentry)					CATEGORY:Internal		CSKILL:Craft (Carpentry)
Make CSKILL ~ Craft (Cobbling)					CATEGORY:Internal		CSKILL:Craft (Cobbling)
Make CSKILL ~ Craft (Gemcutting)					CATEGORY:Internal		CSKILL:Craft (Gemcutting)
Make CSKILL ~ Craft (Leatherworking)				CATEGORY:Internal		CSKILL:Craft (Leatherworking)
Make CSKILL ~ Craft (Locksmithing)					CATEGORY:Internal		CSKILL:Craft (Locksmithing)
Make CSKILL ~ Craft (Painting)					CATEGORY:Internal		CSKILL:Craft (Painting)
Make CSKILL ~ Craft (Pottery)						CATEGORY:Internal		CSKILL:Craft (Pottery)
Make CSKILL ~ Craft (Sculpture)					CATEGORY:Internal		CSKILL:Craft (Sculpture)
Make CSKILL ~ Craft (Shipmaking)					CATEGORY:Internal		CSKILL:Craft (Shipmaking)
Make CSKILL ~ Craft (Stoneworking)					CATEGORY:Internal		CSKILL:Craft (Stoneworking)
Make CSKILL ~ Craft (Trapmaking)					CATEGORY:Internal		CSKILL:Craft (Trapmaking)
Make CSKILL ~ Craft (Weaponsmithing)				CATEGORY:Internal		CSKILL:Craft (Weaponsmithing)
Make CSKILL ~ Craft (Weaving)						CATEGORY:Internal		CSKILL:Craft (Weaving)
Make CSKILL ~ Craft (Untrained)					CATEGORY:Internal		CSKILL:Craft (Untrained)
Make CSKILL ~ Decipher Script						CATEGORY:Internal		CSKILL:Decipher Script
Make CSKILL ~ Diplomacy							CATEGORY:Internal		CSKILL:Diplomacy
Make CSKILL ~ Disable Device						CATEGORY:Internal		CSKILL:Disable Device
Make CSKILL ~ Disguise							CATEGORY:Internal		CSKILL:Disguise
