# Sat Oct  4 08:50:56 2025 -- reformated by PCGen PrettyLST v6.08.00
###Block:BASIC MELEE WEAPONS
# One-Handed Weapons
# Weapon Name			Type
Handaxe (basic)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Sap (light)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Sledge				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Switchblade (tactical)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Handaxe (tactical)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Tailblade				TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Retractable spike (tactical)	TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Spined blade (basic)		TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Sap (medium)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Shell knuckles (tactical)	TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Hook knife				TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Spined blade (buzzblade)	TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Switchblade (ultrathin)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Handaxe (sintered)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Retractable spike (advanced)	TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Sap (heavy)				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Spined blade (ripper)		TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Shell knuckles (advanced)	TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Switchblade (zero-edge)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Handaxe (ultrathin)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Spined blade (gravity)		TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Retractable spike (elite)	TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Shell knuckles (elite)		TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Spined blade (rivener)		TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Switchblade (molecular-rift)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Handaxe (molecular-rift)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Retractable spike (paragon)	TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Shell knuckles (paragon)	TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized

# Two-Handed Weapons
Garrote (wire)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Warclub				TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Greataxe (tactical)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Lance (tactical)			TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Chitinblade (tactical)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Puzzleblade (conviction)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Living staff (tactical)		TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Maul (tactical)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Greataxe (sintered)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Scythe (tactical)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Garrote (nanofiber)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Lance (advanced)			TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Chitinblade (microserrated)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Puzzleblade (dedication)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Greataxe (ultrathin)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Maul (advanced)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Scythe (sintered)			TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Garrote (microfilament)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Living staff (advanced)		TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Chitinblade (nanoserrated)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Lance (elite)			TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Greataxe (molecular-rift)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Puzzleblade (moderation)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Maul (elite)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Living staff (elite)		TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Scythe (ultrathin)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Chitinblade (ultraserrated)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Garrote (monowire)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Lance (paragon)			TYPE:P.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Puzzleblade (tradition)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Living staff (paragon)		TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Maul (paragon)			TYPE:B.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized

###Block:ADVANCED MELEE WEAPONS
# One-Handed Weapons
#  Cold
# Weapon Name				Type
Ice needle (undercover)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Cryospike (personal)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Bone scepter (chill)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Zero knife (frostbite-class)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Ice needle (furtive)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Gale baton (tempest)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Zero knife (hailstorm-class)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Bone scepter (void)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Cryospike (residential)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Ice needle (artifice)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Gale baton (cyclone)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Zero knife (blizzard-class)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Bone scepter (rigor)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Ice needle (espionage)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Cryospike (industrial)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Zero knife (avalanche-class)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Gale baton (hurricane)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Ice needle (subterfuge)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Bone scepter (cadaver)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Zero knife (icequake-class)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS

#  Disintegrator
Disintegrator lash (liquidator)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Disintegrator lash (decimator)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Disintegrator lash (executioner)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Disintegrator lash (eradicator)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS

#  Flame
Junk censer					TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Resistance rod (strain-gauge)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Pyrod (luminous)				TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Magma blade (rhyolite)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Searing grip (low-heat)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Mirage dagger (distortion)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Magma blade (andesite)			TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
