# CVS $Revision$ $Author$ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Necromancy	SOURCESHORT:Necromancy	SOURCEWEB:http://www.mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name			Classes of caster			School		Type		Components		Casting Time		Range			Item		Target Area or Effect							Duration						Save Info					Spell Resistance		Source Page		Description
Animate Animal			CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 animal corpse touched					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.19	DESC:See text
Animate Skeleton			CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.20	DESC:See text
Animate Zombie			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.20	DESC:See text
Annihilation			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:30' Radius							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.21	DESC:See text
Bleeding Wound			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:2 rounds/lvl				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.21	DESC:See text
Bones of Steel			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons touched				DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.21	DESC:See text
Chill Blood				CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 creature							DURATION:Instantaneous				SAVEINFO:Reflex Partial			SPELLRES:Yes		SOURCEPAGE:p.22	DESC:See text
Death's Shadow			CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		SOURCEPAGE:p.22	DESC:See text
Detect Dead				CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Concentration/1 minute/lvl (D)	SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.23	DESC:See text
Flesh Made Foul			CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.23	DESC:See text
Ghoulish Curse			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		SOURCEPAGE:p.23	DESC:See text
Graft Weapons			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons/Zombies touched			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.24	DESC:See text
Identify Undead			CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Invigoration of Undeath		CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:30 feet	ITEM:Potion	TARGETAREA:Zombies in a 30' radius around caster		DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Longevity				CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:Will Negates (Harmless)	SPELLRES:Yes (Harmless)	SOURCEPAGE:p.25	DESC:See text
Protection from Undead		CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature Touched						DURATION:1 Minute/lvl				SAVEINFO:Will Negates (Harmless)	SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Raise City				CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Special	ITEM:Potion	TARGETAREA:Ruined Settlement						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.26	DESC:See Text
Raise Death Fleet			CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Long		ITEM:Potion	TARGETAREA:1 or more sunken ships					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.26	DESC:See Text
Raise Death Hulk			CLASSES:Sorcerer,Wizard=7	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Long		ITEM:Potion	TARGETAREA:1 sunken ship						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.27	DESC:See Text
Recall Spirit			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
Sensory Link			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.28	DESC:See text
Shadow Horror			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:Special					SAVEINFO:Will Negates (Special)	SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
Shadow Mastery			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:1 minute/lvl				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
