# CVS $Revision: 1.4 $ $Author: eddyanthony $ -- Thu Aug 12 22:17:32 2004 -- reformated by prettylst.pl v1.33 (build 411)
#
# Spycraft PCGen dataset by Eddy Anthony
#

SOURCELONG:AEG Spycraft|SOURCESHORT:Spycraft|SOURCEWEB:http://www.spycraftrpg.com/

# Skill Name					Key Stat	Untrained?		Type				Source Page		Bonus to skill rank
Native Language (Afrikaans)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (American Sign Languages)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Arabic (Egyptian))		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Arabic (Modern))		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Armenian)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Assyrian)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Azerbaijani)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Bantu)				KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Bosnian)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Cherokee)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Cheyenne)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Chinese)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Croatian)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Czech)				KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Danish)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Dutch)				KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (English)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Farsi)				KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Finnnish)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (French)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
Native Language (Georian)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Language	SOURCEPAGE:p.37	BONUS:SKILLRANK|Languages|1
