#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00

# Ability Name	Category of Ability
Alchemist		CATEGORY:Class
Cavalier		CATEGORY:Class
Inquisitor		CATEGORY:Class
Oracle		CATEGORY:Class
Summoner		CATEGORY:Class
Witch			CATEGORY:Class
Antipaladin		CATEGORY:Class

###Block: Class Specifics


# Ability Name				Define							Auto Weapon Prof																					Ability																																																	Bonus Ability Pool				Modify VAR
CATEGORY=Class|Alchemist.MOD																																	ABILITY:Special Ability|AUTOMATIC|Alchemist Weapon Proficiencies	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|Alchemist ~ Class Skills|PREVAREQ:Alchemist_CF_ClassSkills,0

CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Alchemy|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Bomb|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BrewPotion|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Mutagen|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_ThrowAnything|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonResistance|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonUse|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_SwiftAlchemy|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_SwiftPoisoning|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PersistentMutagen|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_InstantAlchemy|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_GrandDiscovery|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_ClassSkills|0

CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonResistance2|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonResistance4|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonResistance6|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_PoisonImmunity|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery2|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery4|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery6|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery8|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery10|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery12|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery14|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery16|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_Discovery18|0

CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombReduction|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage3|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage5|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage7|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage9|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage11|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage13|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage15|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage17|0
CATEGORY=Class|Alchemist.MOD		DEFINE:Alchemist_CF_BombDamage19|0

CATEGORY=Class|Alchemist.MOD																																																																																										BONUS:VAR|Alchemist_CF_Alchemy|1|TYPE=Boolean|PREFACT:1,ABILITIES,Alchemist_CF_Alchemy=True
