# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Core Rulebook	SOURCESHORT:PFCR	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy88yj	SOURCEDATE:2009-08
# Original Entry by: Stefan Radermacher

###Block: Conditional skills (for output only)
# Skill Name					Key Stat	Untrained?		Classes	Type			Visible		Req. Rule (in options)		Prohibited Var. Value														Source Page
Acrobatics (Jump)					KEYSTAT:DEX	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Acrobatics (Jump).MISC"),var("SKILL.Acrobatics.MISC")					SOURCEPAGE:p.87
Appraise (Precious metals and gemstones)	KEYSTAT:INT	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Appraise (Precious metals and gemstones).MISC"),var("SKILL.Appraise.MISC")		SOURCEPAGE:p.90
Perception (Notice unusual stonework)	KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Perception (Notice unusual stonework).MISC"),var("SKILL.Perception.MISC")		SOURCEPAGE:p.102
Perception (Trapfinding)			KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Perception (Trapfinding).MISC"),var("SKILL.Perception.MISC")				SOURCEPAGE:p.102
Spellcraft (Identify magic item)		KEYSTAT:INT	USEUNTRAINED:NO	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Spellcraft (Identify magic item).MISC"),var("SKILL.Spellcraft.MISC")			SOURCEPAGE:p.106
Survival (Follow or identify tracks)	KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Survival (Follow or identify tracks).MISC"),var("SKILL.Survival.MISC")		SOURCEPAGE:p.107

# Conditional skills for bard's Versatile Performance ability
Bluff (Perform (Act))				KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Bluff (Perform (Act)).MISC"),var("SKILL.Bluff.MISC")					SOURCEPAGE:p.90	PREABILITY:1,CATEGORY=Special Ability,Act
Disguise (Perform (Act))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Disguise (Perform (Act)).MISC"),var("SKILL.Disguise.MISC")				SOURCEPAGE:p.95	PREABILITY:1,CATEGORY=Special Ability,Act
#
Bluff (Perform (Comedy))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Bluff (Perform (Comedy)).MISC"),var("SKILL.Bluff.MISC")					SOURCEPAGE:p.90	PREABILITY:1,CATEGORY=Special Ability,Comedy
Intimidate (Perform (Comedy))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Intimidate (Perform (Comedy)).MISC"),var("SKILL.Intimidate.MISC")			SOURCEPAGE:p.99	PREABILITY:1,CATEGORY=Special Ability,Comedy
#´
Acrobatics (Perform (Dance))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Acrobatics (Perform (Dance)).MISC"),var("SKILL.Acrobatics.MISC")			SOURCEPAGE:p.87	PREABILITY:1,CATEGORY=Special Ability,Dance
Fly (Perform (Dance))				KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Fly (Perform (Dance)).MISC"),var("SKILL.Fly.MISC")						SOURCEPAGE:p.96	PREABILITY:1,CATEGORY=Special Ability,Dance
#
Diplomacy (Perform (Keyboards))		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Diplomacy (Perform (Keyboards)).MISC"),var("SKILL.Diplomacy.MISC")			SOURCEPAGE:p.93	PREABILITY:1,CATEGORY=Special Ability,Keyboard Instruments
Sense Motive (Perform (Keyboards))		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Sense Motive (Perform (Keyboards)).MISC"),var("SKILL.Sense Motive.MISC")		SOURCEPAGE:p.104	PREABILITY:1,CATEGORY=Special Ability,Keyboard Instruments
#
Diplomacy (Perform (Oratory))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Diplomacy (Perform (Oratory)).MISC"),var("SKILL.Diplomacy.MISC")			SOURCEPAGE:p.93	PREABILITY:1,CATEGORY=Special Ability,Oratory
Sense Motive (Perform (Oratory))		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Sense Motive (Perform (Oratory)).MISC"),var("SKILL.Sense Motive.MISC")		SOURCEPAGE:p.104	PREABILITY:1,CATEGORY=Special Ability,Oratory
#
Handle Animal (Perform (Percussion))	KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Handle Animal (Perform (Percussion)).MISC"),var("SKILL.Handle Animal.MISC")	SOURCEPAGE:p.97	PREABILITY:1,CATEGORY=Special Ability,Percussion Instruments
Intimidate (Perform (Percussion))		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Intimidate (Perform (Percussion)).MISC"),var("SKILL.Intimidate.MISC")		SOURCEPAGE:p.99	PREABILITY:1,CATEGORY=Special Ability,Percussion Instruments
#
Bluff (Perform (Sing))				KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Bluff (Perform (Sing)).MISC"),var("SKILL.Bluff.MISC")					SOURCEPAGE:p.90	PREABILITY:1,CATEGORY=Special Ability,Sing
Sense Motive (Perform (Sing))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Sense Motive (Perform (Sing)).MISC"),var("SKILL.Sense Motive.MISC")			SOURCEPAGE:p.104	PREABILITY:1,CATEGORY=Special Ability,Sing
#
Bluff (Perform (Strings))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Bluff (Perform (Strings)).MISC"),var("SKILL.Bluff.MISC")					SOURCEPAGE:p.90	PREABILITY:1,CATEGORY=Special Ability,String Instruments
Diplomacy (Perform (Strings))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Diplomacy (Perform (Strings)).MISC"),var("SKILL.Diplomacy.MISC")			SOURCEPAGE:p.93	PREABILITY:1,CATEGORY=Special Ability,String Instruments
#
Diplomacy (Perform (Wind))			KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Diplomacy (Perform (Wind)).MISC"),var("SKILL.Diplomacy.MISC")				SOURCEPAGE:p.93	PREABILITY:1,CATEGORY=Special Ability,Wind Instruments
Handle Animal (Perform (Wind))		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Handle Animal (Perform (Wind)).MISC"),var("SKILL.Handle Animal.MISC")		SOURCEPAGE:p.97	PREABILITY:1,CATEGORY=Special Ability,Wind Instruments


###Block: Skill .MODs
# MODs to existing skills - have to do it this way otherwise the BONUS to MISC never fires and the conditions above are never triggered
# Skill Name					Bonus to skill																	Bonus to skill rank
Acrobatics.MOD					BONUS:SKILL|Acrobatics (Jump)|var("SKILL.Acrobatics.MISC")										BONUS:SKILLRANK|Acrobatics (Jump)|skillinfo("TOTALRANK", "Acrobatics")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Acrobatics (Jump).MISC"),var("SKILL.Acrobatics.MISC")
Appraise.MOD					BONUS:SKILL|Appraise (Precious metals and gemstones)|var("SKILL.Appraise.MISC")						BONUS:SKILLRANK|Appraise (Precious metals and gemstones)|skillinfo("TOTALRANK", "Appraise")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Appraise (Precious metals and gemstones).MISC"),var("SKILL.Appraise.MISC")
Perception.MOD					BONUS:SKILL|Perception (Notice unusual stonework)|var("SKILL.Perception.MISC")						BONUS:SKILLRANK|Perception (Notice unusual stonework)|skillinfo("TOTALRANK", "Perception")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Perception (Notice unusual stonework).MISC"),var("SKILL.Perception.MISC")
Perception.MOD					BONUS:SKILL|Perception (Trapfinding)|var("SKILL.Perception.MISC")									BONUS:SKILLRANK|Perception (Trapfinding)|skillinfo("TOTALRANK", "Perception")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Perception (Trapfinding).MISC"),var("SKILL.Perception.MISC")
Spellcraft.MOD					BONUS:SKILL|Spellcraft (Identify magic item)|var("SKILL.Spellcraft.MISC")							BONUS:SKILLRANK|Spellcraft (Identify magic item)|skillinfo("TOTALRANK", "Spellcraft")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Spellcraft (Identify magic item).MISC"),var("SKILL.Spellcraft.MISC")
Survival.MOD					BONUS:SKILL|Survival (Follow or identify tracks)|var("SKILL.Survival.MISC")							BONUS:SKILLRANK|Survival (Follow or identify tracks)|skillinfo("TOTALRANK", "Survival")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Survival (Follow or identify tracks).MISC"),var("SKILL.Survival.MISC")
#
Perform (Act).MOD					BONUS:SKILL|Bluff (Perform (Act))|var("SKILL.Perform (Act).MISC")									BONUS:SKILLRANK|Bluff (Perform (Act))|skillinfo("TOTALRANK", "Perform (Act)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Bluff (Perform (Act)).MISC"),var("SKILL.Bluff.MISC")
Perform (Act).MOD					BONUS:SKILL|Disguise (Perform (Act))|var("SKILL.Perform (Act).MISC")								BONUS:SKILLRANK|Disguise (Perform (Act))|skillinfo("TOTALRANK", "Perform (Act)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Disguise (Perform (Act)).MISC"),var("SKILL.Disguise.MISC")
Perform (Comedy).MOD				BONUS:SKILL|Bluff (Perform (Comedy))|var("SKILL.Perform (Comedy).MISC")								BONUS:SKILLRANK|Bluff (Perform (Comedy))|skillinfo("TOTALRANK", "Perform (Comedy)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Bluff (Perform (Comedy)).MISC"),var("SKILL.Bluff.MISC")
Perform (Comedy).MOD				BONUS:SKILL|Intimidate (Perform (Comedy))|var("SKILL.Perform (Comedy).MISC")							BONUS:SKILLRANK|Intimidate (Perform (Comedy))|skillinfo("TOTALRANK", "Perform (Comedy)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Intimidate (Perform (Comedy)).MISC"),var("SKILL.Intimidate.MISC")
Perform (Dance).MOD				BONUS:SKILL|Acrobatics (Perform (Dance))|var("SKILL.Perform (Dance).MISC")							BONUS:SKILLRANK|Acrobatics (Perform (Dance))|skillinfo("TOTALRANK", "Perform (Dance)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Acrobatics (Perform (Dance)).MISC"),var("SKILL.Acrobatics.MISC")
Perform (Dance).MOD				BONUS:SKILL|Fly (Perform (Dance))|var("SKILL.Perform (Dance).MISC")								BONUS:SKILLRANK|Fly (Perform (Dance))|skillinfo("TOTALRANK", "Perform (Dance)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Fly (Perform (Dance)).MISC"),var("SKILL.Fly.MISC")
Perform (Keyboard Instruments).MOD		BONUS:SKILL|Diplomacy (Perform (Keyboard Instruments))|var("SKILL.Perform (Keyboard Instruments).MISC")		BONUS:SKILLRANK|Diplomacy (Perform (Keyboard Instruments))|skillinfo("TOTALRANK", "Perform (Keyboard Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Diplomacy (Perform (Keyboard Instruments)).MISC"),var("SKILL.Diplomacy.MISC")
Perform (Keyboard Instruments).MOD		BONUS:SKILL|Sense Motive (Perform (Keyboard Instruments))|var("SKILL.Perform (Keyboard Instruments).MISC")		BONUS:SKILLRANK|Sense Motive (Perform (Keyboard Instruments))|skillinfo("TOTALRANK", "Perform (Keyboard Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Sense Motive (Perform (Keyboard Instruments)).MISC"),var("SKILL.Sense Motive.MISC")
Perform (Oratory).MOD				BONUS:SKILL|Diplomacy (Perform (Oratory))|var("SKILL.Perform (Oratory).MISC")							BONUS:SKILLRANK|Diplomacy (Perform (Oratory))|skillinfo("TOTALRANK", "Perform (Oratory)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Diplomacy (Perform (Oratory)).MISC"),var("SKILL.Diplomacy.MISC")
Perform (Oratory).MOD				BONUS:SKILL|Sense Motive (Perform (Oratory))|var("SKILL.Perform (Oratory).MISC")						BONUS:SKILLRANK|Sense Motive (Perform (Oratory))|skillinfo("TOTALRANK", "Perform (Oratory)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Sense Motive (Perform (Oratory)).MISC"),var("SKILL.Sense Motive.MISC")
Perform (Percussion Instruments).MOD	BONUS:SKILL|Handle Animal (Perform (Percussion Instruments))|var("SKILL.Perform (Percussion Instruments).MISC")	BONUS:SKILLRANK|Handle Animal (Perform (Percussion Instruments))|skillinfo("TOTALRANK", "Perform (Percussion Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Handle Animal (Perform (Percussion Instruments)).MISC"),var("SKILL.Handle Animal.MISC")
Perform (Percussion Instruments).MOD	BONUS:SKILL|Intimidate (Perform (Percussion Instruments))|var("SKILL.Perform (Percussion Instruments).MISC")	BONUS:SKILLRANK|Intimidate (Perform (Percussion Instruments))|skillinfo("TOTALRANK", "Perform (Percussion Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Intimidate (Perform (Percussion Instruments)).MISC"),var("SKILL.Intimidate.MISC")
Perform (Sing).MOD				BONUS:SKILL|Bluff (Perform (Sing))|var("SKILL.Perform (Sing).MISC")								BONUS:SKILLRANK|Bluff (Perform (Sing))|skillinfo("TOTALRANK", "Perform (Sing)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Bluff (Perform (Sing)).MISC"),var("SKILL.Bluff.MISC")
Perform (Sing).MOD				BONUS:SKILL|Sense Motive (Perform (Sing))|var("SKILL.Perform (Sing).MISC")							BONUS:SKILLRANK|Sense Motive (Perform (Sing))|skillinfo("TOTALRANK", "Perform (Sing)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Sense Motive (Perform (Sing)).MISC"),var("SKILL.Sense Motive.MISC")
Perform (String Instruments).MOD		BONUS:SKILL|Bluff (Perform (String Instruments))|var("SKILL.Perform (String Instruments).MISC")				BONUS:SKILLRANK|Bluff (Perform (String Instruments))|skillinfo("TOTALRANK", "Perform (String Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Bluff (Perform (String Instruments)).MISC"),var("SKILL.Bluff.MISC")
Perform (String Instruments).MOD		BONUS:SKILL|Diplomacy (Perform (String Instruments))|var("SKILL.Perform (String Instruments).MISC")			BONUS:SKILLRANK|Diplomacy (Perform (String Instruments))|skillinfo("TOTALRANK", "Perform (String Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Diplomacy (Perform (String Instruments)).MISC"),var("SKILL.Diplomacy.MISC")
Perform (Wind Instruments).MOD		BONUS:SKILL|Diplomacy (Perform (Wind Instruments))|var("SKILL.Perform (Wind Instruments).MISC")				BONUS:SKILLRANK|Diplomacy (Perform (Wind Instruments))|skillinfo("TOTALRANK", "Perform (Wind Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Diplomacy (Perform (Wind Instruments)).MISC"),var("SKILL.Diplomacy.MISC")
Perform (Wind Instruments).MOD		BONUS:SKILL|Handle Animal (Perform (Wind Instruments))|var("SKILL.Perform (Wind Instruments).MISC")			BONUS:SKILLRANK|Handle Animal (Perform (Wind Instruments))|skillinfo("TOTALRANK", "Perform (Wind Instruments)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Handle Animal (Perform (Wind Instruments)).MISC"),var("SKILL.Handle Animal.MISC")

#
# End
#
