


#############################################
###		ARCHETYPE TYPES LIST		###
#############################################

###COMMENT: Search by Class using '@ClassName'


#Barbarian Class		@Barbarian

BarbarianWeaponProficiencies			Disables ALL Class Weapon Proficiencies
BarbarianArmorProficiencies			Disables ALL Class Armor & Shield Proficiencies
BarbarianShieldProficiency			Disables Class Shield Proficiency
BarbarianRage					Disables Barbarian Rage
BarbarianRagePowers				Disables ALL Barbarian Rage Powers
BarbarianFastMovement				Disables Barbarian Fast Movement Ability
BarbarianTrapSense				Disables Barbarian Trap Sense Ability
BarbarianDamageReduction			Disables Barbarian Damage Reduction Ability
BarbarianGreaterRage				Disables Barbarian Greater Rage Ability
BarbarianIndomitableWill			Disables Barbarian Indomitable Will Ability
BarbarianTirelessRage				Disables Barbarian Tireless Rage Ability
BarbarianMightyRage				Disables Barbarian Mighty Rage Ability

BarbarianUncannyDodge				Disables Barbarian Uncanny Dodge and Improved Uncanny Dodge
BarbarianImprovedUncannyDodge			Disables Barbarian Uncanny Dodge and Improved Uncanny Dodge

# Trap Sense Ability Variables
# NAME OF TYPE		FUNCTION
BarbarianTrapSense#	Disables the +# gained
#All listed -
BarbarianTrapSense1	Disables the +1 gained
BarbarianTrapSense2	Disabled the +2 gained
BarbarianTrapSense3	Disabled the +3 gained
BarbarianTrapSense4	Disabled the +4 gained
BarbarianTrapSense5	Disabled the +5 gained
BarbarianTrapSense6	Disabled the +6 gained

###
BarbarianRagePower#	Disables the gained Rage Power at level #
#All listed -
BarbarianRagePower2	Disables the gained Rage Power at level 2
BarbarianRagePower4	Disables the gained Rage Power at level 4
BarbarianRagePower6	Disables the gained Rage Power at level 6
BarbarianRagePower8	Disables the gained Rage Power at level 8
BarbarianRagePower10	Disables the gained Rage Power at level 10
BarbarianRagePower12	Disables the gained Rage Power at level 12
BarbarianRagePower14	Disables the gained Rage Power at level 14
BarbarianRagePower16	Disables the gained Rage Power at level 16
BarbarianRagePower18	Disables the gained Rage Power at level 18
BarbarianRagePower20	Disables the gained Rage Power at level 20

BarbarianDamageReduction#	Disables the +# granted to Barbarian DR
#
BarbarianDamageReduction1	Disables the +1 granted to Barbarian DR (1/-)
BarbarianDamageReduction2	Disables the +2 granted to Barbarian DR (2/- remains 1/-)
BarbarianDamageReduction3	Disables the +3 granted to Barbarian DR (etc.)
BarbarianDamageReduction4	Disables the +4 granted to Barbarian DR
BarbarianDamageReduction5	Disables the +5 granted to Barbarian DR
