# CVS $Revision$ $Author$ -- Tue Dec  9 22:07:56 2014 -- reformated by prettylst.pl v1.51 (build 25712)
#SOURCELONG:Pathfinder Society Field Guide		SOURCESHORT:PFSFG	SOURCEWEB:http://paizo.com/pathfinderSociety/scenarios/v5748btpy84k4	SOURCEDATE:2011-08
# Original Entry by: Mark Means

# Ability Category											Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object								Display Location
ABILITYCATEGORY:Skill Specialization								VISIBLE:QUALIFY	EDITABLE:YES								CATEGORY:Special Ability	TYPE:SkillSpecialization						DISPLAYLOCATION:Background

ABILITYCATEGORY:Skill Specialization (Acrobatics) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Acrobatics					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Appraise) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Appraise					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Bluff) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Bluff					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Climb) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Climb					DISPLAYLOCATION:Background
#ABILITYCATEGORY:Skill Specialization (Craft) Choice					EDITABLE:YES	EDITPOOL:YES		FRACTIONALPOOL:NO		CATEGORY:Special Ability	VISIBLE:QUALIFY	DISPLAYLOCATION:Background	TYPE:SkillSpecialization_Craft
ABILITYCATEGORY:Skill Specialization (Craft (Alchemy)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Alchemy				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Armor)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Armor				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Baskets)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Baskets				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Blacksmithing)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Blacksmithing			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Books)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Books				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Bows)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Bows					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Calligraphy)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Calligraphy			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Carpentry)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Carpentry				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Cloth)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Cloth				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Clothing)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Clothing				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Gemcutting)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Gemcutting				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Glass)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Glass				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Jewelry)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Jewelry				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Leather)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Leather				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Locks)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Locks				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Paintings)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Paintings				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Pottery)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Pottery				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Sculptures)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Sculptures				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Ships)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Ships				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Shoes)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Shoes				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Stonemasonry)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Stonemasonry			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Traps)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Traps				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Craft (Weapons)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Craft_Weapons				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Diplomacy) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Diplomacy					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Disable Device) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_DisableDevice				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Disguise) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Disguise					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Escape Artist) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_EscapeArtist				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Fly) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Fly						DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Handle Animal) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_HandleAnimal				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Heal) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Heal						DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Intimidate) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Intimidate					DISPLAYLOCATION:Background
#ABILITYCATEGORY:Skill Specialization (Knowledge) Choice				EDITABLE:YES	EDITPOOL:YES		FRACTIONALPOOL:NO		CATEGORY:Special Ability	VISIBLE:QUALIFY	DISPLAYLOCATION:Background	TYPE:SkillSpecialization_Knowledge
ABILITYCATEGORY:Skill Specialization (Knowledge (Arcana)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Arcana				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Dungeoneering)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Dungeoneering		DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Engineering)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Engineering			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Geography)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Geography			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (History)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_History			DISPLAYLOCATION:Background
