# CVS $Revision$ $Author$ -- Wed Mar  2 14:59:42 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:Sidewinder: Recoiled|SOURCESHORT:S:R|SOURCEWEB:http://www.doghouserules.net/recoiled/index.html
# Original Entry by: Lone Jedi (MSRD by Phantom of Krankor)

#Civilian Vehicles
# Equipment Name				Type							Cost		Weight	Size		Source Page
Buggy (2 Person/500 lb. Capacity)	TYPE:Goods.Transportation.Civilian		COST:40	WT:380	SIZE:L	SOURCEPAGE:p. 161
Buggy (4 Person/800 lb. Capacity)	TYPE:Goods.Transportation.Civilian		COST:90	WT:500	SIZE:H	SOURCEPAGE:p. 161
Stagecoach (Not Including Horses)	TYPE:Goods.Transportation.Civilian		COST:1500	WT:2500	SIZE:H	SOURCEPAGE:p. 161
Wagon (Light/Capacity 1200 lbs.)	TYPE:Goods.Transportation.Civilian		COST:30	WT:500	SIZE:H	SOURCEPAGE:p. 161
Wagon (Heavy/Capacity 4500 lbs.)	TYPE:Goods.Transportation.Civilian		COST:40	WT:1085	SIZE:H	SOURCEPAGE:p. 161

#Civilian Water Vehicles
Canoe						TYPE:Goods.Transportation.Civilian.Boat	COST:10	WT:90		SIZE:M	SOURCEPAGE:p. 161
Flatboat (30 ft.)				TYPE:Goods.Transportation.Civilian.Boat	COST:200	WT:8000	SIZE:G	SOURCEPAGE:p. 161
Keelboat (30 ft.)				TYPE:Goods.Transportation.Civilian.Boat	COST:500	WT:12000	SIZE:G	SOURCEPAGE:p. 161

#Riding Accessories
Harness (Single)				TYPE:Goods.Transportation.Civilian		COST:10	WT:15		SIZE:M	SOURCEPAGE:p. 161
Harness (Team/per 2 Horses)		TYPE:Goods.Transportation.Civilian		COST:25	WT:40		SIZE:M	SOURCEPAGE:p. 161
Quirt (riding whip)			TYPE:Goods.Transportation.Civilian		COST:1.25	WT:0		SIZE:S	SOURCEPAGE:p. 161
Saddle and Bridle (Fancy)		TYPE:Goods.Transportation.Civilian		COST:60	WT:25		SIZE:S	SOURCEPAGE:p. 161
Saddle and Bridle (Plain)		TYPE:Goods.Transportation.Civilian		COST:25	WT:20		SIZE:S	SOURCEPAGE:p. 161
Saddlebags and Saddle Blanket		TYPE:Goods.Transportation.Civilian		COST:8	WT:10		SIZE:S	SOURCEPAGE:p. 161
