# CVS $Revision$ $Author$ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Original Spell Name Compendium	SOURCESHORT:SpellName	SOURCEWEB:http://www.necromancergames.com/legal.html	SOURCEDATE:2002-01
# Original Entry by: Tir Gwaith

# Spell Name				Output Name
Clenched Fist.MOD				OUTPUTNAME:Bigsby's [NAME]
Crushing Hand.MOD				OUTPUTNAME:Bigsby's [NAME]
Forceful Hand.MOD				OUTPUTNAME:Bigsby's [NAME]
Grasping Hand.MOD				OUTPUTNAME:Bigsby's [NAME]
Interposing Hand.MOD			OUTPUTNAME:Bigsby's [NAME]
Instant Summons.MOD			OUTPUTNAME:Drawmiij's [NAME]
Black Tentacles.MOD			OUTPUTNAME:Evar's [NAME]
Secret Chest.MOD				OUTPUTNAME:Leomand's [NAME]
Secure Shelter.MOD			OUTPUTNAME:Leomand's [NAME]
Tiny Hut.MOD				OUTPUTNAME:Leomand's [NAME]
Phantom Trap.MOD				OUTPUTNAME:Leomand's Trap
Acid Arrow.MOD				OUTPUTNAME:Mel's [NAME]
Mage's Disjunction.MOD			OUTPUTNAME:Morden's [NAME]
Mage's Faithful Hound.MOD		OUTPUTNAME:Morden's [NAME]
Mage's Lucubration.MOD			OUTPUTNAME:Morden's [NAME]
Mage's Magnificent Mansion.MOD	OUTPUTNAME:Morden's [NAME]
Mage's Sword.MOD				OUTPUTNAME:Morden's [NAME]
Magic Aura.MOD				OUTPUTNAME:Nystal's [NAME]
Freezing Sphere.MOD			OUTPUTNAME:Otluke's [NAME]
Resilient Sphere.MOD			OUTPUTNAME:Otluke's [NAME]
Telekinetic Sphere.MOD			OUTPUTNAME:Otluke's [NAME]
Irresistible Dance.MOD			OUTPUTNAME:Oto's [NAME]
Mnemonic Enhancer.MOD			OUTPUTNAME:Rarey's [NAME]
Telepathic Bond.MOD			OUTPUTNAME:Rarey's [NAME]
Hideous Laughter.MOD			OUTPUTNAME:Tashaa's [NAME]
Floating Disk.MOD				OUTPUTNAME:Tensor's [NAME]
Transformation.MOD			OUTPUTNAME:Tensor's [NAME]

###Block: Undetectable Aura (in the OSC revised, but not in SRD 3.5)
# Spell Name						Source Page		Description
Magic Aura.COPY=Nystal's Undetectable Aura
Nystal's Undetectable Aura.MOD			SOURCEPAGE:p.8	DESC:Masks a magic item's aura from detection.
