# CVS $Revision: 6536 $ $Author: amaitland $ -- Wed Jun 11 18:42:35 2008 -- reformated by prettylst.pl v1.38 (build 6503)
SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35


#
#
# This lower section is for the Benefits section in the SRD.
# Please do not use Benefit sections from feats when submitting new datasets.
# We want to make sure we stay publisher friendly, and using the benefits section can remove the need to own the source.
#	- Tir Gwaith
#
#

###Block: Dynamic Feat Descriptions
# Feat Name			Define						Clear Description	Description
Combat Expertise.MOD	DEFINE:CombatExpertiseMax|min(BAB,5)	DESC:.CLEAR		DESC:When you use the attack action or the full attack action in melee, you can take a penalty of as much as %1 on your attack roll and add the same number as a dodge bonus to your Armor Class.|CombatExpertiseMax
Power Attack.MOD		DEFINE:PowerAttackMax|max(BAB,0)		DESC:.CLEAR		DESC:On your action, before making attack rolls for a round, you may choose to subtract up to %1 from all melee attack rolls and add the same number to all melee damage rolls.|PowerAttackMax


###Block: Static Feat Descriptions
# Feat Name					Clear Description	Description
Acrobatic.MOD				DESC:.CLEAR		DESC:You get a +2 bonus on all Jump checks and Tumble checks.
Agile.MOD					DESC:.CLEAR		DESC:You get a +2 bonus on all Balance checks and Escape Artist checks.
Alertness.MOD				DESC:.CLEAR		DESC:You get a +2 bonus on all Listen checks and Spot checks.
Animal Affinity.MOD			DESC:.CLEAR		DESC:You get a +2 bonus on all Handle Animal checks and Ride checks.
Armor Proficiency (Heavy).MOD		DESC:.CLEAR		DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.
Armor Proficiency (Light).MOD		DESC:.CLEAR		DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.
Armor Proficiency (Medium).MOD	DESC:.CLEAR		DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.
Athletic.MOD				DESC:.CLEAR		DESC:You get a +2 bonus on all Climb checks and Swim checks.
Augment Summoning.MOD			DESC:.CLEAR		DESC:Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.
Blind Fight.MOD				DESC:.CLEAR		DESC:In melee, every time you miss because of concealment, you can reroll your miss chance percentile roll one time to see if you actually hit.
Brew Potion.MOD				DESC:.CLEAR		DESC:You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures.
Cleave.MOD					DESC:.CLEAR		DESC:If you deal a creature enough damage to make it drop, you get an immediate, extra melee attack against another creature within reach. You can use this ability once per round.
Combat Casting.MOD			DESC:.CLEAR		DESC:You get a +4 bonus on Concentration checks made to cast a spell or use a spell-like ability while on the defensive or while you are grappling or pinned.
Combat Reflexes.MOD			DESC:.CLEAR		DESC:You may make a number of additional attacks of opportunity equal to your Dexterity bonus.
Craft Magic Arms and Armor.MOD	DESC:.CLEAR		DESC:You can create any magic weapon, armor, or shield whose prerequisites you meet.
