# CVS $Revision: 9628 $ $Author: zaister $ -- Sun Feb 10 05:01:55 2013 -- reformated by prettylst.pl v1.39 (build 18270)
SOURCELONG:Faiths of Purity	SOURCESHORT:FoP	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderCompanion/v5748btpy8j60	SOURCEDATE:2011-04
# Original Entry by:Stefan Radermacher

###Block: Spells
# Spell Name		Classes of caster						School			Sub-School			Spell Descriptors			Type				Components		Casting Time			Range			Target Area or Effect											Duration						Save Info					Spell Resistance		Description																									Source Page
Deadeye's Lore		CLASSES:Bard,Cleric,Druid,Inquisitor,Ranger=1	SCHOOL:Divination											TYPE:Arcane.Divine	COMPS:V, S		CASTTIME:1 round			RANGE:Personal	TARGETAREA:You												DURATION:(CASTERLEVEL) hours													DESC:You take upon yourself the mantle of the outdoorsman, channeling a small sliver of Erastil's divine knowledge of the wild.|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:p.28
Enhance Water		CLASSES:Bard,Cleric,Paladin=1				SCHOOL:Transmutation										TYPE:Arcane.Divine	COMPS:V, S		CASTTIME:1 round			RANGE:Touch		TARGETAREA:(CASTERLEVEL) pints of water								DURATION:Instantaneous				SAVEINFO:Fortitude negates (object)	SPELLRES:Yes (object)	DESC:Transform water into an alcoholic beverage, typically ale, beer, mead, or wine.|!PRERULE:1,DisplayFullSpell								SOURCEPAGE:p.28
Hairline Fractures	CLASSES:Cleric,Druid=1					SCHOOL:Transmutation										TYPE:Divine			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch		TARGETAREA:5-ft.-square section of stone or a creature with the earth subtype		DURATION:(CASTERLEVEL) rounds			SAVEINFO:Fortitude negates (object)	SPELLRES:Yes (object)	DESC:You create momentary hairline fractures in a piece of stone or a creature with the earth subtype.|!PRERULE:1,DisplayFullSpell					SOURCEPAGE:p.28
Haze of Dreams		CLASSES:Bard,Cleric,Inquisitor,Paladin=1		SCHOOL:Enchantment	SUBSCHOOL:Charm		DESCRIPTOR:Mind-Affecting	TYPE:Arcane.Divine	COMPS:V, M		CASTTIME:1 standard action	RANGE:Close		TARGETAREA:One Creature											DURATION:(CASTERLEVEL) rounds			SAVEINFO:Will negates			SPELLRES:Yes		DESC:You fill an enemy's head with waking dreams, reducing the target's speet by half.|!PRERULE:1,DisplayFullSpell							SOURCEPAGE:p.28
Sun Metal			CLASSES:Cleric,Paladin,Ranger=1			SCHOOL:Transmutation					DESCRIPTOR:Fire			TYPE:Divine			COMPS:V, S		CASTTIME:1 standard action	RANGE:Touch		TARGETAREA:One melee weapon										DURATION:(CASTERLEVEL) rounds (see text)	SAVEINFO:Fortitude negates (object)	SPELLRES:Yes (object)	DESC:Target weapon ignites into flame that does not hurt the weapon or the wielder, but damages those hit by the weapon.|!PRERULE:1,DisplayFullSpell		SOURCEPAGE:p.28
Tap Inner Beauty		CLASSES:Bard,Cleric=1					SCHOOL:Divination											TYPE:Arcane.Divine	COMPS:V, M		CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You												DURATION:(CASTERLEVEL) minutes												DESC:You gain a +2 insight bonus on all Charisma ability checks and Charisma-based skill checks.|!PRERULE:1,DisplayFullSpell						SOURCEPAGE:p.29
Trail of the Rose		CLASSES:Bard,Cleric=2					SCHOOL:Illusion		SUBSCHOOL:Phantasm						TYPE:Arcane.Divine	COMPS:V, S		CASTTIME:1 standard action	RANGE:Touch		TARGETAREA:1 rose touched										DURATION:(CASTERLEVEL) hours [D]		SAVEINFO:No					SPELLRES:No			DESC:Creates an illusory trail that can only be followed by your allies.|!PRERULE:1,DisplayFullSpell										SOURCEPAGE:p.29
Weapons Against Evil	CLASSES:Cleric,Inquisitor,Paladin=1			SCHOOL:Transmutation										TYPE:Divine			COMPS:V, DF		CASTTIME:1 standard action	RANGE:Close		TARGETAREA:(CASTERLEVEL) weapons, no two of which can be more than 20 ft. apart	DURATION:(CASTERLEVEL) rounds			SAVEINFO:Fortitude negates (object)	SPELLRES:Yes (object)	DESC:Target weapons shed light and ignore the DR of some evil creatures.|!PRERULE:1,DisplayFullSpell										SOURCEPAGE:p.29

###Block: Full Spell Descriptions
# Spell Name			Description
