# CVS $Revision: 12957 $ $Author: jbaril $ -- Sun Jul  6 20:02:09 2014 -- reformated by prettylst.pl v1.51 (build 23662)
SOURCELONG:Advanced Class Origins	SOURCESHORT:ACO	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2014-08

Aspect of the Nightingale.MOD			CLASSES:Shaman=1
Deadeye's Arrow.MOD				CLASSES:Bloodrager=1
Dream Feast.MOD					CLASSES:Shaman=1
Face of the Devourer.MOD			CLASSES:Bloodrager=1
Firebelly.MOD					CLASSES:Bloodrager=1
Hairline Fractures.MOD				CLASSES:Shaman=1
Haze of Dreams.MOD				CLASSES:Shaman=1
Ice Armor.MOD					CLASSES:Bloodrager=1
Poisoned Egg.MOD					CLASSES:Shaman=1
Read Weather.MOD					CLASSES:Shaman=1
Touch of Bloodletting.MOD			CLASSES:Bloodrager=1
Tracking Mark.MOD					CLASSES:Bloodrager=1

Gozreh's Trident.MOD				CLASSES:Bloodrager=2
Rovagug's Fury.MOD				CLASSES:Bloodrager=2
Secret Speech.MOD					CLASSES:Shaman=2
Shared Sacrifice.MOD				CLASSES:Shaman=2
Touch of Bloodletting.MOD			CLASSES:Shaman=2

Blade Snare.MOD					CLASSES:Bloodrager=3
Channel Vigor.MOD					CLASSES:Bloodrager=3
Fractions of Heal and Harm.MOD		CLASSES:Bloodrager=3
Monstrous Extremities.MOD			CLASSES:Bloodrager=3
Sky Swim.MOD					CLASSES:Bloodrager,Shaman=3

Baphomet's Blessing.MOD				CLASSES:Bloodrager=4
Caustic Blood.MOD					CLASSES:Bloodrager=4
Sadomasochism.MOD					CLASSES:Bloodrager=4
Transplant Visage.MOD				CLASSES:Shaman=4

Hunter's Blessing.MOD				CLASSES:Shaman=5
Vengeful Stinger.MOD				CLASSES:Shaman=5

Symbol of Dispelling.MOD			CLASSES:Shaman=8
