# CVS $Revision$ $Author$ -- Sat Aug 23 16:07:10 2008 -- reformated by prettylst.pl v1.38 (build 7233)
#SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/

# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object					Plural description for UI		Display Location
ABILITYCATEGORY:Psionic Combat Mode		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PsionicAttackMode.PsionicDefenseMode	PLURAL:Psionic Combat Modes		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Psychic Warrior Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Fighter				PLURAL:Psychic Warrior Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Slayer Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:General.Psionic.Metapsionic		PLURAL:Slayer Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Inner Strength		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:InnerStrength				PLURAL:Inner Strength			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Trigger Power			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:TriggerPower					PLURAL:Trigger Power			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Astral Construct Menu A	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuA			PLURAL:Astral Construct Menu A	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Astral Construct Menu B	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuB			PLURAL:Astral Construct Menu B	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Astral Construct Menu C	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuC			PLURAL:Astral Construct Menu C	DISPLAYLOCATION:Racial Abilities

ABILITYCATEGORY:Talented Free Power		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TalentedFreePowers				PLURAL:Talented Free Powers		DISPLAYLOCATION:Feats

ABILITYCATEGORY:Psychic Warrior Weapon Specialization Choice	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PsychicWarriorWeaponSpecialChoice				PLURAL:Psychic Warrior Weapon Specialization Choice		DISPLAYLOCATION:Class Abilities
#
# End
#
