# CVS $Revision$ $Author$ -- Fri Jan  1 12:57:05 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:DHG - The Practical Enchanter	SOURCESHORT:TPE	SOURCEWEB:http://www.lulu.com/product/paperback/the-practical-enchanter/559616	SOURCEDATE:01-2001
#Original Entry: Andrew Maitland


# Class Name	Hit Dice	Type			Max Level	Source Page		Combat bonus										Save bonus																					FACT
CLASS:Prophet	HD:8		TYPE:Base.PC	MAXLEVEL:20	SOURCEPAGE:p.219	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Fortitude,BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	FACT:Abb|Prp	FACT:SpellType|Divine
# Class Name	Skill Pts/Lvl	Class Skill
CLASS:Prophet	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE=Craft|Knowledge (Religion)|TYPE=Profession|Spellcraft
# Class Name	Spell Stat		Memorize	Caster level			Use Spell List
CLASS:Prophet	SPELLSTAT:CHA	MEMORIZE:NO	BONUS:CASTERLEVEL|Prophet|CL	SPELLLIST:2|Cleric|Druid
1	BONUS:DOMAIN|NUMBER|2
1					ABILITY:FEAT|AUTOMATIC|Armor Proficiency (Light)|Armor Proficiency (Medium)|Shield Proficiency
1					ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies
1					ABILITY:FEAT|AUTOMATIC|Simple Weapon Proficiency

###Block: Level progression
1	CAST:5,3				KNOWN:4,2
2	CAST:6,4				KNOWN:5,2
3	CAST:6,5				KNOWN:5,3
4	CAST:6,6,3				KNOWN:6,3,1
5	CAST:6,6,4				KNOWN:6,4,2
6	CAST:6,6,5,3			KNOWN:7,4,2,1
7	CAST:6,6,6,4			KNOWN:7,5,3,2
8	CAST:6,6,6,5,3			KNOWN:8,5,3,2,1
9	CAST:6,6,6,6,4			KNOWN:8,5,4,3,2
10	CAST:6,6,6,6,5,3			KNOWN:9,5,4,3,2,1
11	CAST:6,6,6,6,6,4			KNOWN:9,5,5,4,3,2
12	CAST:6,6,6,6,6,5,3		KNOWN:9,5,5,4,3,2,1
13	CAST:6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,3,2
14	CAST:6,6,6,6,6,6,5,3		KNOWN:9,5,5,4,4,3,2,1
15	CAST:6,6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,4,3,2
16	CAST:6,6,6,6,6,6,6,5,3		KNOWN:9,5,5,4,4,4,3,2,1
17	CAST:6,6,6,6,6,6,6,6,4		KNOWN:9,5,5,4,4,4,3,3,2
18	CAST:6,6,6,6,6,6,6,6,5,3	KNOWN:9,5,5,4,4,4,3,3,2,1
19	CAST:6,6,6,6,6,6,6,6,6,4	KNOWN:9,5,5,4,4,4,3,3,3,2
20	CAST:6,6,6,6,6,6,6,6,6,6	KNOWN:9,5,5,4,4,4,3,3,3,3
