# CVS $Revision$ $Author$ -- Tue Oct 16 20:52:48 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Outcastia Campaign Book II	SOURCESHORT:OCS_II	SOURCEWEB:http://www.nitehawk-games.biz/products/ocs_b2.html	SOURCEDATE:09-2011
# ORIGINAL ENTRY BY: Andrew Maitland
# ORIGINAL ENTRY DATE: 2011-11-26

# Simple
# Weapon Name	Type
Cestus		TYPE:Simple

# Martial
Razor Shield	TYPE:Martial
Wyrm Dagger		TYPE:Martial

# Exotic
# - Light
Cestus (Bestial)	TYPE:Exotic
Dagger (Ritiik)	TYPE:Exotic

# - One Handed
Tiikiquaelh		TYPE:Exotic
Vap'n			TYPE:Exotic

# - Two Handed
Katana		TYPE:Exotic
Mancatcher		TYPE:Exotic
Vapn			TYPE:Exotic

# - Ranged Weapons
Boomerang		TYPE:Exotic

