# CVS $Revision$ $Author$ -- Tue Oct 30 01:48:28 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Outcastia Campaign Book II	SOURCESHORT:OCS_II	SOURCEWEB:http://www.nitehawk-games.biz/products/ocs_b2.html	SOURCEDATE:09-2011
# ORIGINAL ENTRY BY: Andrew Maitland
# ORIGINAL ENTRY DATE: 2011-11-26

# Deity Name		Product Identity?	Domains									Pantheon
Adri Myst			NAMEISPI:YES	DOMAINS:KNOWLEDGE,MAGIC,RUNE						PANTHEON:Outcastia
Ale'chea			NAMEISPI:YES	DOMAINS:ANIMAL,DEATH,EVIL,SCALYKIND					PANTHEON:Outcastia
Alfheim-Rigel		NAMEISPI:YES	DOMAINS:ANIMAL,GOOD,PLANT,WAR						PANTHEON:Outcastia
Arkonseptsis		NAMEISPI:YES	DOMAINS:ANTIMAGIC,MADNESS,PESTILENCE				PANTHEON:Outcastia
At'tia			NAMEISPI:YES	DOMAINS:EMOTION,EVIL,MADNESS						PANTHEON:Outcastia
Bellagard			NAMEISPI:YES	DOMAINS:DEATH,EVIL,KNOWLEDGE						PANTHEON:Outcastia
Binduruk			NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,EVIL,STRENGTH				PANTHEON:Outcastia
Blitzhavoc			NAMEISPI:YES	DOMAINS:AIR,EVIL,WEATHER						PANTHEON:Outcastia
Bofim Wurlode		NAMEISPI:YES	DOMAINS:COMMUNITY,CREATION,EARTH,GOOD				PANTHEON:Outcastia
Brotti			NAMEISPI:YES	DOMAINS:DEATH,NOBILITY,REPOSE						PANTHEON:Outcastia
Buzarmud			NAMEISPI:YES	DOMAINS:ANIMAL,DARKNESS,DESTRUCTION,MADNESS			PANTHEON:Outcastia
Cassius			NAMEISPI:YES	DOMAINS:DESTRUCTION,LAW,STRENGTH,WAR				PANTHEON:Outcastia
Cha'chay			NAMEISPI:YES	DOMAINS:DARKNESS,EMOTION,EVIL						PANTHEON:Outcastia
Champion			NAMEISPI:YES	DOMAINS:ANIMAL,LAW,PROTECTION						PANTHEON:Outcastia
Crallex			NAMEISPI:YES	DOMAINS:SHADOW								PANTHEON:Outcastia
Darr				NAMEISPI:YES	DOMAINS:DEATH,KNOWLEDGE,REPOSE,RUNE,TIME				PANTHEON:Outcastia
Demia				NAMEISPI:YES	DOMAINS:CHAOS,DARKNESS,EVIL,MADNESS					PANTHEON:Outcastia
Deodatus			NAMEISPI:YES	DOMAINS:AIR,DEATH,REPOSE,WEATHER					PANTHEON:Outcastia
Devil Dogg			NAMEISPI:YES	DOMAINS:CHAOS,CHARM,TRICKERY						PANTHEON:Outcastia
Einar				NAMEISPI:YES	DOMAINS:ANIMAL,CHAOS,PLANT						PANTHEON:Outcastia
Errendil			NAMEISPI:YES	DOMAINS:DEATH,EVIL,PESTILENCE						PANTHEON:Outcastia
Fausimote			NAMEISPI:YES	DOMAINS:CHAOS,MADNESS,TRICKERY					PANTHEON:Outcastia
Filanein			NAMEISPI:YES	DOMAINS:KNOWLEDGE,MAGIC,PROPHECY,RUNE				PANTHEON:Outcastia
Freydis			NAMEISPI:YES	DOMAINS:EARTH,PLANT,TIME,WEATHER					PANTHEON:Outcastia
Gazor				NAMEISPI:YES	DOMAINS:CHAOS,GOOD,PROTECTION,STRENGTH,WAR			PANTHEON:Outcastia
Ghulock Elfslaver		NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,EVIL,WAR					PANTHEON:Outcastia
Gimlorian the Younger	NAMEISPI:YES	DOMAINS:ARTIFICE,CREATION,GOOD,TRICKERY				PANTHEON:Outcastia
Gogzebil			NAMEISPI:YES	DOMAINS:CHAOS,COMMUNITY,MADNESS					PANTHEON:Outcastia
Hakam Nore			NAMEISPI:YES	DOMAINS:DEATH,EARTH,EVIL,LAW						PANTHEON:Outcastia
Im'loru			NAMEISPI:YES	DOMAINS:DEATH,DESTRUCTION,TRICKERY,WAR				PANTHEON:Outcastia
J'arque			NAMEISPI:YES	DOMAINS:CHARM,COMMUNITY,HEALING,LUCK				PANTHEON:Outcastia
Ler'hati			NAMEISPI:YES	DOMAINS:KNOWLEDGE,MAGIC,RUNE						PANTHEON:Outcastia
Luminor			NAMEISPI:YES	DOMAINS:ANIMAL,CHAOS,PLANT,TRICKERY					PANTHEON:Outcastia
Lurgrod			NAMEISPI:YES	DOMAINS:DARKNESS,DEATH,EVIL,PESTILENCE				PANTHEON:Outcastia
Manunzul			NAMEISPI:YES	DOMAINS:KNOWLEDGE,PROPHECY,TIME					PANTHEON:Outcastia
Mara Zespin			NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,STRENGTH,WAR				PANTHEON:Outcastia
Mord				NAMEISPI:YES	DOMAINS:DEATH,DESTRUCTION,EVIL					PANTHEON:Outcastia
Morgol			NAMEISPI:YES	DOMAINS:COMMUNITY,DEATH,EVIL,MAGIC					PANTHEON:Outcastia
Morik Gwirgold		NAMEISPI:YES	DOMAINS:LAW,NOBILITY,PROTECTION					PANTHEON:Outcastia
Morwen Telrunya		NAMEISPI:YES	DOMAINS:ANIMAL,CHAOS,GOOD,NOBILITY,PLANT,PROTECTION		PANTHEON:Outcastia
Nordaim			NAMEISPI:YES	DOMAINS:CHARM,DARKNESS,EMOTION,TRICKERY				PANTHEON:Outcastia
Paul Ivan			NAMEISPI:YES	DOMAINS:EVIL,LUCK,STRENGTH						PANTHEON:Outcastia
Pilot Wavebreaker		NAMEISPI:YES	DOMAINS:ANIMAL,GOOD,TRAVEL,WATER,WEATHER				PANTHEON:Outcastia
Pobbe Kures			NAMEISPI:YES	DOMAINS:GOOD,LAW,STRENGTH						PANTHEON:Outcastia
Rane				NAMEISPI:YES	DOMAINS:DARKNESS,EVIL,MADNESS,TRICKERY				PANTHEON:Outcastia
Rien				NAMEISPI:YES	DOMAINS:DARKNESS,FIRE,GLORY,SUN,WEATHER				PANTHEON:Outcastia
Rizguluth			NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,EVIL,STRENGTH,WAR			PANTHEON:Outcastia
Sangmen			NAMEISPI:YES	DOMAINS:CREATION,HEALING,LAW						PANTHEON:Outcastia
Say'dra			NAMEISPI:YES	DOMAINS:LIBERATION,PROTECTION,STRENGTH				PANTHEON:Outcastia
Shiruntela			NAMEISPI:YES	DOMAINS:EARTH,PLANT,WEATHER						PANTHEON:Outcastia
Sho-Gunn Lee		NAMEISPI:YES	DOMAINS:GLORY,GOOD,LAW,STRENGTH					PANTHEON:Outcastia
Shrirenta'Farn		NAMEISPI:YES	DOMAINS:COMMUNITY,CREATION,GOOD,MAGIC				PANTHEON:Outcastia
Smyr				NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,EVIL,STRENGTH				PANTHEON:Outcastia
Sshishiitul			NAMEISPI:YES	DOMAINS:NOBILITY,PROTECTION,STRENGTH,WAR				PANTHEON:Outcastia
Starrl			NAMEISPI:YES	DOMAINS:CHAOS,CREATION,DEATH,DESTRUCTION,HEALING,REPOSE,WAR	PANTHEON:Outcastia
Talik Zayeir		NAMEISPI:YES	DOMAINS:CHAOS,DESTRUCTION,EVIL,MADNESS,WAR			PANTHEON:Outcastia
Tighwinder			NAMEISPI:YES	DOMAINS:CHAOS,PROTECTION,TRAVEL					PANTHEON:Outcastia
Tor'qua'oess		NAMEISPI:YES	DOMAINS:CHAOS,PROTECTION,WAR						PANTHEON:Outcastia
Tortoro			NAMEISPI:YES	DOMAINS:CHAOS,LUCK,TRICKERY						PANTHEON:Outcastia
Tovi				NAMEISPI:YES	DOMAINS:CHARM,COMMUNITY,PESTILENCE					PANTHEON:Outcastia
Ulric				NAMEISPI:YES	DOMAINS:DARKNESS,GLORY,SUN,TIME					PANTHEON:Outcastia
Umblestrand			NAMEISPI:YES	DOMAINS:MAGIC,PROPHECY,RUNE						PANTHEON:Outcastia
Varinia			NAMEISPI:YES	DOMAINS:LAW,PROPHECY,REPOSE						PANTHEON:Outcastia
Vork				NAMEISPI:YES	DOMAINS:DEATH,DESTRUCTION,EVIL,MAGIC				PANTHEON:Outcastia
Willowbrook			NAMEISPI:YES	DOMAINS:LIBERATION,LUCK,WAR						PANTHEON:Outcastia
Withernock			NAMEISPI:YES	DOMAINS:LAW,PROTECTION,STRENGTH,WAR					PANTHEON:Outcastia
Xandra			NAMEISPI:YES	DOMAINS:CHARM,EMOTION,GOOD,LAW					PANTHEON:Outcastia
Xenocrates			NAMEISPI:YES	DOMAINS:CHAOS,CHARM,LIBERATION					PANTHEON:Outcastia
Yaesilvanne			NAMEISPI:YES	DOMAINS:CHARM,EMOTION,MADNESS,WAR					PANTHEON:Outcastia
Yesha				NAMEISPI:YES	DOMAINS:ARTIFICE,GOOD,LAW						PANTHEON:Outcastia
Yulana			NAMEISPI:YES	DOMAINS:CHARM,EARTH,PLANT,REPOSE					PANTHEON:Outcastia
Zkor				NAMEISPI:YES	DOMAINS:GLORY,GOOD,LAW,PLANT,PROTECTION				PANTHEON:Outcastia
