#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Fri Jan 29 20:50:52 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pathfinder Player Companion: People of the Sands	SOURCESHORT:PSand	SOURCEWEB:http://paizo.com/products/btpy92lx	SOURCEDATE:2014-02
# ORIGINAL ENTRY: Gwen T. (evilpixie87)
# ORIGINAL ENTRY DATE: 11 March 2017

# ==============================
# New Feats
# ==============================

# Ability Name					Product Identity?	Category of Ability	Type			Required Ability									Required Language				Multiple Requirements					Required Skill							Required Stat	Required Text																Description																Source Page		Aspects									Benefits
Horn of the Criosphinx							CATEGORY:FEAT		TYPE:Combat																			PREMULT:1,[PRETOTALAB:6],[PRECLASS:1,Monk=6]													PRETEXT:Base attack bonus +6 or monk level 6th.											DESC:You end your charge in a devastating two-handed attack.							SOURCEPAGE:p.13											BENEFIT:Whenever you make a successful charge attack while wielding a two-handed weapon in both hands, add two times your Strength bonus to the damage roll. Special: A monk can use this feat as long as he is wielding a two-handed weapon or both his hands are empty.
Osirinology						NAMEISPI:YES	CATEGORY:FEAT		TYPE:General												PRELANG:2,Osiriani,Ancient Osiriani									PRESKILL:2,Knowledge (history)=1,Knowledge (local)=1				PRETEXT:Knowledge (history) 1 rank, Knowledge (local), must be able to speak Osiriani and Ancient Osiriani.	DESC:You have a broad interest in Osirion and are something of an authority in one specialized feild.	SOURCEPAGE:p.7											BENEFIT:Pick one Intelligence-based skill. You gain a +3 bonus on all checks made using that skill in relation to Osirion or its people. In addition, you gain a +1 bonus on all other Intelligence-based skill checks made in relation to Osirion or its people.
Out of the Sun								CATEGORY:FEAT		TYPE:Teamwork																										PRESKILL:2,Bluff=3,Stealth=3								PRETEXT:Bluff 3 ranks, Stealth 3 ranks.												DESC:Your allies use the sun's glare to their advantage.								SOURCEPAGE:p.9											BENEFIT:When you hit with a melee attack, you can attempt a Bluff check as a move action to feint. You do not gain the benefits of this feint; instead, if your Bluff check is successful, an ally with this feat who is adjacent to you or your opponent gains the benefits, so that her next melee attack against that opponent does not allow him to use his Dexterity bonus to AC (if any). This attack must be made on or before your ally's next turn. You gain a +2 circumstance bonus on your Bluff check in bright light. This bonus increases to +4 in natural sunlight. You cannot use this feat in dim light or darkness. Special: If you have the Improved Feint feat, you can feint with Out of the Sun as a swift action after you hit with a melee attack.
Thuvian Grenadier					NAMEISPI:YES	CATEGORY:FEAT		TYPE:Teamwork	PREABILITY:1,CATEGORY=FEAT,Precise Shot,Throw Anything																												PRETEXT:Precise Shot or Throw Anything.												DESC:Training with alchemically inclined allies helps you avoid friendly fire.				SOURCEPAGE:p.9											BENEFIT:Whenever you hit a creature with a splash weapon, you may choose to exclude one creature within the weapon's splash area from taking splash damage. If a creature within the splash area also has this feat, it automatically ignores splash damage from your splash weapons on a successful hit. In addition, if you miss with a splash weapon and the errant weapon lands in a square occupied or adjacent to an ally with this feat, your ally can attempt a DC 20 Reflex save. If the ally succeeds, he is able to catch the weapon. If your ally also has the Snatch Arrows feat, he can toss the splash weapon back to you as an immediate action.
Undermine									CATEGORY:FEAT		TYPE:Teamwork																																																								DESC:You and your allies take advantage of shifting terrain to unbalance enemies.				SOURCEPAGE:p.9											BENEFIT:When you use a combat maneuver to move a creature into or through a square adjacent to an ally with this feat, your opponent treats all squares adjacent to that ally as difficult terrain during his next turn. In addition, the DC of any of your opponent's Acrobatics checks in the affected squares increases by 2 for each of your allies with this feat who are adjacent to him.
Wings of the Androsphinx						CATEGORY:FEAT		TYPE:Combat		PREABILITY:2,CATEGORY=FEAT,Combat Expertise,Improved Reposition							PREMULT:1,[PRETOTALAB:1],[PRECLASS:1,Monk=1]										PRESTAT:1,INT=13	PRETEXT:Int 13, Combat Expertise, Improved Reposition, base attack bonus +1 or monk level 1st.			DESC:You can reshape the kinetic energy of foes' charges.								SOURCEPAGE:p.13	ASPECT:CombatBonus|+2 bonus to AC against charge attacks.	BENEFIT:You gain a +2 bonus to AC against charge attacks. If a creature charges you and fails its attack roll, as an immediate action you can attempt a reposition combat maneuver to reposition that foe. If you use a readied action to attack a creature charging you, you can roll to attack and then attempt to reposition that creature as a free action before it resolves its charge attack.

# ==============================
# Div Bloodline Bonus Feats
# ==============================

CATEGORY=FEAT|Blind-Fight.MOD										TYPE:DivBloodline
CATEGORY=FEAT|Deceitful.MOD										TYPE:DivBloodline
CATEGORY=FEAT|Empower Spell.MOD									TYPE:DivBloodline
CATEGORY=FEAT|Improved Initiative.MOD								TYPE:DivBloodline
CATEGORY=FEAT|Iron Will.MOD										TYPE:DivBloodline
CATEGORY=FEAT|Lightning Reflexes.MOD								TYPE:DivBloodline
CATEGORY=FEAT|Persuasive.MOD										TYPE:DivBloodline
CATEGORY=FEAT|Power Attack.MOD									TYPE:DivBloodline
