# CVS $Revision$ $Author$ -- Thu Feb 12 21:03:27 2009 -- reformated by prettylst.pl v1.39 (build 9329)
#SOURCELONG:Battlefield Press - Sherwood	SOURCESHORT:Sherwood	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-01
#Original Entry: Andrew Maitland

# Ability Category					Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object					Plural description for UI			Display Location
ABILITYCATEGORY:Engineer Ability			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:EngineerAbility.SwashbucklingPoint	PLURAL:Engineer Abilities			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Engineer Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Engineer					PLURAL:Engineer Feats				DISPLAYLOCATION:Feats

ABILITYCATEGORY:Noble Ability				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:NobleAbility.SwashbucklingPoint	PLURAL:Noble Ability				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Noble Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Noble						PLURAL:Noble Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Noble Privilege			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:NoblePrivilege				PLURAL:Noble Privilege				DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Man-at-Arms Ability			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:ManAtArmsAbility.SwashbucklingPoint	PLURAL:Man-at-Arms Abilities			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Man-at-Arms Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:ManAtArms					PLURAL:Man-at-Arms Feat				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Tactician				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:ManAtArmsTactics				PLURAL:Tactics					DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Knave Ability				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:KnaveAbility.SwashbucklingPoint	PLURAL:Knave Abilities				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Knave Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Knave						PLURAL:Knave Feat					DISPLAYLOCATION:Feats

ABILITYCATEGORY:Priest Ability			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:PriestAbility.SwashbucklingPoint	PLURAL:Priest Abilities				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Priest Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Priest						PLURAL:Priest Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Inspiring Presence			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:PriestInspire				PLURAL:Inspiring Presence			DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Yeoman Ability			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:YeomanAbility.SwashbucklingPoint	PLURAL:Yeoman Abilities				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Yeoman Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Yeoman						PLURAL:Yeoman Feats				DISPLAYLOCATION:Feats

#Mythic ADD-ON
ABILITYCATEGORY:Conjurer Ability			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:ConjurerAbility.SwashbucklingPoint	PLURAL:Conjurer Abilities			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Conjurer Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Conjurer					PLURAL:Conjurer Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Fires Burn and Cauldrons Bubble	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:ConjurerMagic				PLURAL:Fires Burn and Cauldrons Bubble	DISPLAYLOCATION:Class Abilities


#
##EOF
#
