# CVS $Revision$ $Author$ -- Tue Nov 11 14:21:45 2008 -- reformated by prettylst.pl v1.38 (build 8180)
#Original Entry By: Paul Grosse 11/13/03
SOURCELONG:Alchemy and Herbalists	SOURCESHORT:AlchemyHrb	SOURCEWEB:http://dragonwing.net/	SOURCEDATE:2002-03

###Block: Herb Name
# Equipment Name			Type					Cost		Weight	Source Page
Acacia (dried flowers)		TYPE:Goods.Herb.Consumable	COST:4	WT:0.0625	SOURCEPAGE:p.31
Acacia (dried leaves)		TYPE:Goods.Herb.Consumable	COST:4	WT:0.0625	SOURCEPAGE:p.31
Acacia (sap)			TYPE:Goods.Herb.Consumable	COST:6	WT:0.0625	SOURCEPAGE:p.31
Acacia (chips)			TYPE:Goods.Herb.Consumable	COST:10	WT:1		SOURCEPAGE:p.31
Aconite (sprig)			TYPE:Goods.Herb.Consumable	COST:0.5	WT:0		SOURCEPAGE:p.31
Aconite (syrup)			TYPE:Goods.Herb.Consumable	COST:1	WT:0		SOURCEPAGE:p.31
Agrimony				TYPE:Goods.Herb.Consumable	COST:0.05	WT:0.0625	SOURCEPAGE:p.31
Aletris				TYPE:Goods.Herb.Consumable	COST:2	WT:0.0625	SOURCEPAGE:p.31
Amaranth				TYPE:Goods.Herb.Consumable	COST:0.5	WT:0.0625	SOURCEPAGE:p.31
Balm of Gilead (root)		TYPE:Goods.Herb.Consumable	COST:4	WT:0.0625	SOURCEPAGE:p.32
Balm of Gilead (bark)		TYPE:Goods.Herb.Consumable	COST:4	WT:0.0625	SOURCEPAGE:p.32
Balm of Gilead (bulb)		TYPE:Goods.Herb.Consumable	COST:4	WT:0		SOURCEPAGE:p.32
Balm of Gilead (seed)		TYPE:Goods.Herb.Consumable	COST:4	WT:0		SOURCEPAGE:p.32
Balm of Gilead (resin)		TYPE:Goods.Herb.Consumable	COST:4	WT:0.0625	SOURCEPAGE:p.32
Barley				TYPE:Goods.Herb.Consumable	COST:0.05	WT:0.0625	SOURCEPAGE:p.32
