# CVS $Revision$ $Author$ -- Wed Feb  4 23:22:04 2009 -- reformated by prettylst.pl v1.39 (build 9132)
# SOURCELONG:Dawnforge	SOURCESHORT:DF	SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html
# Original Entry by: Ratheof Blithwyn, conversion to Abilities by Eddy Anthony

# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object						Plural description for UI			Display Location
ABILITYCATEGORY:Ghost Elf Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GhostElfRacialTalent				PLURAL:Ghost Elf Talents			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ghost Elf Talent Skill			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GhostElfTalentSkill				PLURAL:Ghost Elf Talent Skills		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ghost Elf Talent Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DawnElfTalentFeat.ItemCreation.Metamagic	PLURAL:Ghost Elf Talent Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Ghost Elf Transformation			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GhostElfRacialTransformation			PLURAL:Ghost Elf Transformations		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ghost Elf Transformation Skill		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DawnElfTransfSkill					PLURAL:Ghost Elf Transformation Skills	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ghost Elf Transformation Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DawnElfTransformationFeat			PLURAL:Ghost Elf Transformation Feats	DISPLAYLOCATION:Feats

ABILITYCATEGORY:Moon Elf Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MoonElfRacialTalent				PLURAL:Moon Elf Talents				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Moon Elf Talent Skill			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DawnElfTalentSkill					PLURAL:Moon Elf Talent Skills			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Moon Elf Talent Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DawnElfTalentFeat.ItemCreation.Metamagic	PLURAL:Moon Elf Talent Feats			DISPLAYLOCATION:Feats
