#
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	MAXVER:6.4.00	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	MAXVER:6.4.00	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXVER:6.4.00	MAXDEVVER:6.1.2
# NEWCATEGORY:Spell-like Ability

###Block: Conversions for 6.6

###Block:Basic Classes
#Block:Shared Abilities
# Category of Ability|Ability Name									Newkey
ABILITY:Special Ability|Expert in Your Field			MAXVER:6.6.0		NEWKEY:Shared ~ Expert in Your Field
ABILITY:Special Ability|Quick Weapon Draw				MAXVER:6.6.0		NEWKEY:Shared ~ Quick Weapon Draw

#Block:Arcane Arranger
# Category of Ability|Ability Name
ABILITY:Special Ability|Word on the Street			MAXVER:6.6.0		NEWKEY:Arcane Arranger ~ Word on the Street
ABILITY:Special Ability|False Allegiance				MAXVER:6.6.0		NEWKEY:Arcane Arranger ~ False Allegiance
ABILITY:Special Ability|Shadow Resources				MAXVER:6.6.0		NEWKEY:Arcane Arranger ~ Shadow Resources
ABILITY:Special Ability|Pack Rat					MAXVER:6.6.0		NEWKEY:Arcane Arranger ~ Pack Rat
ABILITY:Special Ability|Up My Sleeve				MAXVER:6.6.0		NEWKEY:Arcane Arranger ~ Up My Sleeve

#Block:Archaic Weaponsmaster
# Category of Ability|Ability Name									Newkey
ABILITY:Special Ability|Imbue Weapon				MAXVER:6.6.0		NEWKEY:Archaic Weaponsmaster ~ Imbue Weapon
ABILITY:Special Ability|Weapon Stun					MAXVER:6.6.0		NEWKEY:Archaic Weaponsmaster ~ Weapon Stun

#Block:Glamourist
# Category of Ability|Ability Name									Newkey
ABILITY:Special Ability|Self Confidence				MAXVER:6.6.0		NEWKEY:Glamourist ~ Self Confidence
ABILITY:Special Ability|Hidden Motives				MAXVER:6.6.0		NEWKEY:Glamourist ~ Hidden Motives
ABILITY:Special Ability|Hidden Allegiance				MAXVER:6.6.0		NEWKEY:Glamourist ~ Hidden Allegiance
ABILITY:Special Ability|Audience					MAXVER:6.6.0		NEWKEY:Glamourist ~ Audience
ABILITY:Special Ability|Daze						MAXVER:6.6.0		NEWKEY:Glamourist ~ Daze
ABILITY:Special Ability|Utterly Convincing			MAXVER:6.6.0		NEWKEY:Glamourist ~ Utterly Convincing
ABILITY:Special Ability|Charm Person				MAXVER:6.6.0		NEWKEY:Glamourist ~ Charm Person

#Block:Mystic
# Category of Ability|Ability Name									Newkey
ABILITY:Special Ability|Combat Casting				MAXVER:6.6.0		NEWKEY:Mystic ~ Combat Casting

#Block:Shadow Hunter
# Category of Ability|Ability Name									Newkey
