#
# Last Editor: $Author$
# Last Edited: $Date$
#
# Lists the DEFAULT number of slots for each type
#
NUMSLOTS:DEFAULT	HEAD:1	HANDS:2	TORSO:1	LEGS:2	SHIELD:1	VEHICLE:1
#
# Name of Slot	Type of items can contain	Where to get # from
#								and number in each slot
#
EQSLOT:Eyes		CONTAINS:Eyegear=1		    NUMBER:HEAD
EQSLOT:Head		CONTAINS:Headgear=1		    NUMBER:HEAD
EQSLOT:Neck		CONTAINS:Amulet=1			NUMBER:HEAD
EQSLOT:Armor	CONTAINS:Armor=1			NUMBER:TORSO
EQSLOT:Body		CONTAINS:Robe=1			    NUMBER:TORSO
EQSLOT:Back		CONTAINS:Cape=1			    NUMBER:TORSO
EQSLOT:Chest	CONTAINS:Shirt=1			NUMBER:TORSO
EQSLOT:Torso	CONTAINS:Clothing=1		    NUMBER:TORSO
EQSLOT:Waist	CONTAINS:Belt=1			    NUMBER:TORSO
EQSLOT:Shield	CONTAINS:Shield=1			NUMBER:SHIELD
EQSLOT:Arm		CONTAINS:Bracer=1			NUMBER:HANDS
EQSLOT:Hand		CONTAINS:Glove=1			NUMBER:HANDS
EQSLOT:Weapon	CONTAINS:Weapon=1			NUMBER:HANDS
EQSLOT:Fingers	CONTAINS:Ring=2				NUMBER:TORSO
EQSLOT:Leg		CONTAINS:Legwear=1			NUMBER:LEGS
EQSLOT:Foot		CONTAINS:Boot=1				NUMBER:LEGS
EQSLOT:Skin		CONTAINS:Tattoo=6			NUMBER:TORSO
EQSLOT:Vehicle	CONTAINS:Transportation=1	NUMBER:VEHICLE
#
# If you wanted to increase the number of RINGs a set of Fingers could hold
# You'd change the EQSLOT:Fingers to CONTAINS:RING=2
#
