# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Blood and Blades - The Profilers Guide to Slashers	SOURCESHORT:BloodBlades	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=141	SOURCEDATE:2005-01
#Original entry by: Frank Kliewe

# Weapon Name	Type
Crowbar		TYPE:Simple
Hammer		TYPE:Simple
Ice Pick		TYPE:Simple
Wrench		TYPE:Simple
Fireman's Axe	TYPE:Archaic
Pitchfork		TYPE:Archaic
Bladed Glove	TYPE:Exotic
Garrote		TYPE:Exotic
Power Drill		TYPE:Exotic
Scythe.MOD		TYPE:Exotic
Sickle.MOD		TYPE:.CLEAR	TYPE:Exotic
