# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Psionics Expanded	SOURCESHORT:PsiEx	SOURCEWEB:http://dreamscarredpress.com/dragonfly/index.php	SOURCEDATE:2012-07
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2013/07/05

###Block: Cryptic power list
# Spell Name				Classes of caster
Call to Mind.MOD				CLASSES:Cryptic=1
Chameleon.MOD				CLASSES:Cryptic=1
Conceal Thoughts.MOD			CLASSES:Cryptic=1
Deja Vu.MOD					CLASSES:Cryptic=1
Elfsight.MOD				CLASSES:Cryptic=1
Float.MOD					CLASSES:Cryptic=1
Fortify.MOD					CLASSES:Cryptic=1
Know Direction and Location.MOD	CLASSES:Cryptic=1
Metamorphosis (Minor).MOD		CLASSES:Cryptic=1
Precognition (Defensive).MOD		CLASSES:Cryptic=1
Precognition (Offensive).MOD		CLASSES:Cryptic=1
Prescience (Offensive).MOD		CLASSES:Cryptic=1
Vigor.MOD					CLASSES:Cryptic=1

Animal Affinity.MOD			CLASSES:Cryptic=2
Body Adjustment.MOD			CLASSES:Cryptic=2
Body Equilibrium.MOD			CLASSES:Cryptic=2
Breach.MOD					CLASSES:Cryptic=2
Cloud Mind.MOD				CLASSES:Cryptic=2
Concealing Amorpha.MOD			CLASSES:Cryptic=2
Control Sound.MOD				CLASSES:Cryptic=2
Defy Gravity.MOD				CLASSES:Cryptic=2
Detect Hostile Intent.MOD		CLASSES:Cryptic=2
Energy Adaptation (Specified).MOD	CLASSES:Cryptic=2
Heightened Vision.MOD			CLASSES:Cryptic=2
Natural Linguist.MOD			CLASSES:Cryptic=2
Psionic Scent.MOD				CLASSES:Cryptic=2
Wall Walker.MOD				CLASSES:Cryptic=2

Concealing Amorpha (Greater).MOD	CLASSES:Cryptic=3
Danger Sense.MOD				CLASSES:Cryptic=3
Dispel Psionics.MOD			CLASSES:Cryptic=3
Escape Detection.MOD			CLASSES:Cryptic=3
Evade Burst.MOD				CLASSES:Cryptic=3
Sharpened Edge.MOD			CLASSES:Cryptic=3
