# CVS $Revision$ $Author$ -- Sun Oct 12 14:41:16 2008 -- reformated by prettylst.pl v1.38 (build 7302)
#SOURCELONG:Dawning Star-Operation Quick Launch	SOURCESHORT:DS-OQL	SOURCEWEB:http://www.dawningstar.com/oql.htm

# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Bureaucrat Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Bureaucrat_Skills		PLURAL:Bureaucrat Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Courtier Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Courtier_Skills		PLURAL:Courtier Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Dissident Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Dissident_Skills		PLURAL:Dissident Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Explorer Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Explorer_Skills		PLURAL:Explorer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Hunter Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Hunter_Skills		PLURAL:Hunter Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Nomad Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Nomad_Skills			PLURAL:Nomad Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Pilot Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Pilot_Skills			PLURAL:Pilot Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Ranch Hand Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Ranch_Hand_Skills		PLURAL:Ranch Hand Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Scientist Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Scientist_Skills		PLURAL:Scientist Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Spacer Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Spacer_Skills		PLURAL:Spacer Occupation Skills		DISPLAYLOCATION:Background
