# CVS $Revision$ $Author$ -- Thu Feb  5 15:53:35 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Dawnforge	SOURCESHORT:DF	SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html	SOURCEDATE:2003-10
# Original Entry by: Ratheof Blithwyn

###########################
##   Legendary Paths     ##
###########################

# Feat Name					Type				Visible	Required Stat	Required var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
# Ability Name				Category of Ability		Type				Visible		Required Stat	Required Var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
Path of the Mighty 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=18							SAB:Path of the Mighty (1st Circle)|PREVAREQ:LegendaryPathMighty,1		DEFINE:LegendaryPathMighty|0		BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Mighty 2nd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=20	PREVAREQ:LegendaryPathMighty,1	SAB:Path of the Mighty (2nd Circle)|PREVAREQ:LegendaryPathMighty,2								BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Mighty 3rd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=22	PREVAREQ:LegendaryPathMighty,2	SAB:Path of the Mighty (3rd Circle)|PREVAREQ:LegendaryPathMighty,3								BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Mighty 4th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=24	PREVAREQ:LegendaryPathMighty,3	SAB:Path of the Mighty (4th Circle)|PREVAREQ:LegendaryPathMighty,4								BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Mighty 5th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=26	PREVAREQ:LegendaryPathMighty,4	SAB:Path of the Mighty (5th Circle)|PREVAREQ:LegendaryPathMighty,5								BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Swift 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,DEX=18							SAB:Path of the Swift (1st Circle)|PREVAREQ:LegendaryPathSwift,1			DEFINE:LegendaryPathSwift|0		BONUS:STAT|DEX|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathSwift|1	SOURCEPAGE:p84
Path of the Swift 2nd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,DEX=20	PREVAREQ:LegendaryPathSwift,1		SAB:Path of the Swift (2nd Circle)|PREVAREQ:LegendaryPathSwift,2									BONUS:STAT|DEX|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathSwift|1	SOURCEPAGE:p84
Path of the Swift 3rd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,DEX=22	PREVAREQ:LegendaryPathSwift,2		SAB:Path of the Swift (3rd Circle)|PREVAREQ:LegendaryPathSwift,3									BONUS:STAT|DEX|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathSwift|1	SOURCEPAGE:p84
Path of the Swift 4th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,DEX=24	PREVAREQ:LegendaryPathSwift,3		SAB:Path of the Swift (4th Circle)|PREVAREQ:LegendaryPathSwift,4									BONUS:STAT|DEX|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathSwift|1	SOURCEPAGE:p84
Path of the Swift 5th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,DEX=26	PREVAREQ:LegendaryPathSwift,4		SAB:Path of the Swift (5th Circle)|PREVAREQ:LegendaryPathSwift,5									BONUS:STAT|DEX|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathSwift|1	SOURCEPAGE:p84
Path of the Unyielding 1st Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CON=18							SAB:Path of the Unyielding (1st Circle)|PREVAREQ:LegendaryPathUnyielding,1	DEFINE:LegendaryPathUnyielding|0	BONUS:STAT|CON|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathUnyielding|1	SOURCEPAGE:p84
