# CVS $Revision$ $Author$ -- Tue Jul 13 18:47:20 2004 -- reformated by prettylst.pl v1.32 (build 375)
SOURCELONG:Dawnforge|SOURCESHORT:DF|SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html
# Original Entry by: Ratheof Blithwyn



#	racial languages
# Language		Type
Doppelganger	TYPE:Spoken
Thinblood		TYPE:Spoken.Written.Read


#	other languages
Anderlar		TYPE:Spoken.Written.Read
Clan Speech		TYPE:Spoken.Written.Read
Stone-speak		TYPE:Spoken.Written.Read
Terran		TYPE:Spoken.Written.Read
King's Tongue	TYPE:Spoken.Written.Read
Highland Runic	TYPE:Spoken.Written.Read
Dorlian		TYPE:Spoken.Written.Read
Valhedrin		TYPE:Spoken.Written.Read
Sothren		TYPE:Spoken.Written.Read


