# CVS $Revision: 20126 $ $Author: zaister $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
#SOURCELONG:Bestiary 2	SOURCESHORT:B2	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/pathfinderRPG/v5748btpy8hif	SOURCEDATE:2010-12

# ORIGINAL ENTRY: ? and Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

###Block: Bestiary 2 Ability Categories
# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object					Plural description for UI				Display Location
ABILITYCATEGORY:Draconal Color				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DraconalColor				PLURAL:Draconal Colors					DISPLAYLOCATION:Racial Abilities
#ABILITYCATEGORY:Domain Spells					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DomainSpells				PLURAL:Domain Spells
ABILITYCATEGORY:Forlarren Spell-Like Ability		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ForlarrenSpelllike				PLURAL:Forlarren Spell-Like Abilities		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ogrekin Beneficial Deformity		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OgrekinBeneficialDeformity		PLURAL:Ogrekin Beneficial Deformities		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ogrekin Disadvantageous Deformity	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OgrekinDisadvantageousDeformity	PLURAL:Ogrekin Disadvantageous Deformities	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Petitioner Trait				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:Petitioner					PLURAL:Petitioner Traits				DISPLAYLOCATION:Racial Abilities

# Racial Abilities
ABILITYCATEGORY:Dhampir Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DhampirRacialTrait				PLURAL:Dhampir Racial Traits				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fetchling Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:FetchlingRacialTrait			PLURAL:Fetchling Racial Traits			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Ifrit Racial Trait				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:IfritRacialTrait				PLURAL:Ifrit Racial Traits				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Oread Racial Trait				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OreadRacialTrait				PLURAL:Oread Racial Traits				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Sylph Racial Trait				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SylphRacialTrait				PLURAL:Sylph Racial Traits				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Undine Racial Trait				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:UndineRacialTrait				PLURAL:Undine Racial Traits				DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Grippli Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GrippliRacialTrait				PLURAL:Grippli Racial Traits				DISPLAYLOCATION:Racial Abilities


