# The Armor table. AC is written as the bonus over 10, because the
# base 10 comes from the Dexterity entry in the stats file.

Padded Armor	KEY:Padded Armor	PROFICIENCY:ARMOR|Padded Armor	TYPE:Armor.LightArmor.Padded Armor	COST:5	WT:8	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.LightArmor	BONUS:COMBAT|AC|1|TYPE=Armor	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SOURCEPAGE:SRD 5.2.1, p.92
Leather Armor	KEY:Leather Armor	PROFICIENCY:ARMOR|Leather Armor	TYPE:Armor.LightArmor.Leather Armor	COST:10	WT:10	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.LightArmor	BONUS:COMBAT|AC|1|TYPE=Armor	SOURCEPAGE:SRD 5.2.1, p.92
Studded Leather Armor	KEY:Studded Leather Armor	PROFICIENCY:ARMOR|Studded Leather Armor	TYPE:Armor.LightArmor.Studded Leather Armor	COST:45	WT:13	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.LightArmor	BONUS:COMBAT|AC|2|TYPE=Armor	SOURCEPAGE:SRD 5.2.1, p.92
Hide Armor	KEY:Hide Armor	PROFICIENCY:ARMOR|Hide Armor	TYPE:Armor.MediumArmor.Hide Armor	COST:10	WT:12	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.MediumArmor	BONUS:COMBAT|AC|2|TYPE=Armor	MAXDEX:2	SOURCEPAGE:SRD 5.2.1, p.92
Chain Shirt	KEY:Chain Shirt	PROFICIENCY:ARMOR|Chain Shirt	TYPE:Armor.MediumArmor.Chain Shirt	COST:50	WT:20	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.MediumArmor	BONUS:COMBAT|AC|3|TYPE=Armor	MAXDEX:2	SOURCEPAGE:SRD 5.2.1, p.92
Scale Mail	KEY:Scale Mail	PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.MediumArmor.Scale Mail	COST:50	WT:45	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.MediumArmor	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:2	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SOURCEPAGE:SRD 5.2.1, p.92
Breastplate	KEY:Breastplate	PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.MediumArmor.Breastplate	COST:400	WT:20	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.MediumArmor	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:2	SOURCEPAGE:SRD 5.2.1, p.92
Half Plate Armor	KEY:Half Plate Armor	PROFICIENCY:ARMOR|Half Plate Armor	TYPE:Armor.MediumArmor.Half Plate Armor	COST:750	WT:40	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.MediumArmor	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:2	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SOURCEPAGE:SRD 5.2.1, p.92
Ring Mail	KEY:Ring Mail	PROFICIENCY:ARMOR|Ring Mail	TYPE:Armor.HeavyArmor.Ring Mail	COST:30	WT:40	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.HeavyArmor	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:0	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SOURCEPAGE:SRD 5.2.1, p.92
Chain Mail	KEY:Chain Mail	PROFICIENCY:ARMOR|Chain Mail	TYPE:Armor.HeavyArmor.Chain Mail	COST:75	WT:55	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.HeavyArmor	BONUS:COMBAT|AC|6|TYPE=Armor	MAXDEX:0	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SPROP:Str 13	SOURCEPAGE:SRD 5.2.1, p.92
Splint Armor	KEY:Splint Armor	PROFICIENCY:ARMOR|Splint Armor	TYPE:Armor.HeavyArmor.Splint Armor	COST:200	WT:60	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.HeavyArmor	BONUS:COMBAT|AC|7|TYPE=Armor	MAXDEX:0	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SPROP:Str 15	SOURCEPAGE:SRD 5.2.1, p.92
Plate Armor	KEY:Plate Armor	PROFICIENCY:ARMOR|Plate Armor	TYPE:Armor.HeavyArmor.Plate Armor	COST:1500	WT:65	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHARMOR:1,TYPE.HeavyArmor	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:0	ABILITY:Internal|AUTOMATIC|Skill Disadvantage ~ Stealth	QUALITY:Stealth|Disadvantage	SPROP:Str 15	SOURCEPAGE:SRD 5.2.1, p.92
Shield	KEY:Shield	PROFICIENCY:SHIELD|Shield	TYPE:Shield	COST:10	WT:6	ABILITY:Internal|AUTOMATIC|Unproficient Armor|!PREPROFWITHSHIELD:1,Shield	BONUS:COMBAT|AC|2|TYPE=Shield	SOURCEPAGE:SRD 5.2.1, p.92
