# A creature's own attacks, as weapons. Kept out of the
# Purchase list by VISIBLE:EXPORT and given to the
# creature by AUTO:EQUIP.

Tentacle	KEY:Creature ~ Aboleth ~ Tentacle	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.258
Thunderous Slam	KEY:Creature ~ Air Elemental ~ Thunderous Slam	TYPE:Weapon.Natural.Melee.Thunder	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.258
Slam	KEY:Creature ~ Animated Armor ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.259
Slash	KEY:Creature ~ Animated Flying Sword ~ Slash	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.259
Smother	KEY:Creature ~ Animated Rug of Smothering ~ Smother	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.259
Bite	KEY:Creature ~ Ankheg ~ Bite	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.259
Shortsword	KEY:Creature ~ Assassin ~ Shortsword	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.260
Light Crossbow	KEY:Creature ~ Assassin ~ Light Crossbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	SOURCEPAGE:SRD 5.2.1, p.260
Slam	KEY:Creature ~ Awakened Tree ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.260
Beak	KEY:Creature ~ Axe Beak ~ Beak	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.260
Burning Hammer	KEY:Creature ~ Azer Sentinel ~ Burning Hammer	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.261
