SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Enchantment	SOURCESHORT:Enchantment	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name		Type		Classes of caster	School			Sub-School		Components		Casting Time	Range			Item		Target Area or Effect											Duration						Save Info					Spell Resistance	Source Page		Description
Beyond Words		TYPE:Arcane	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.27	DESC:Caster can communicate mentally with charmed target.
Bonded Souls		TYPE:Arcane	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Special [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.27	DESC:Bonds a charmed creature like a familiar.
Bonded Thoughts		TYPE:Arcane	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Special [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.27	DESC:Enables telepathic communication.
Camaraderie			TYPE:Arcane	CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, F	CASTTIME:1 action	RANGE:Same Plane	ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.28	DESC:+1 morale bonus to attack and damage while within LOS.
Change of Heart		TYPE:Arcane	CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, F	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Special [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.28	DESC:Target's alignment changet to match the caster's.
Confidante			TYPE:Arcane	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.29	DESC:Target treats the caster as a trusted friend.
Dazing Aura			TYPE:Arcane	CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:(CASTERLEVEL*2) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.29	DESC:Wards one melee or spell attack.
Dolorous Touch		TYPE:Arcane	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One living creature of large size or less with fewer Hp than caster	DURATION:(max(CASTERLEVEL,10)) hours [D]	SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.30	DESC:Target falls into a deep slumber.
Enamouring Touch		TYPE:Arcane	CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.30	DESC:Affect targets as a potion of love [or jealousy].
Endless Daze		TYPE:Arcane	CLASSES:Wizard=8	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Permanent [D]				SAVEINFO:Will Partial			SPELLRES:Yes	SOURCEPAGE:p.31	DESC:Permanent Lingering Daze spell.
