# CVS $Revision: $ $Author: $ -- Sat Jun 29 23:00:42 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Advanced Race Guide	SOURCESHORT:ARG	SOURCEWEB:http://paizo.com/products/btpy8rv2?Pathfinder-Roleplaying-Game-Advanced-Race-Guide	SOURCEDATE:2012-06
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2012/07/30

# COMMENT: Dummy goblin weaponprofs to avoid errors
# Weapon Name			Type
Dogslicer				TYPE:Goblin
Horsechopper			TYPE:Goblin

# COMMENT: Dwarven weaponprofs
Helmet (Dwarven Boulder)	TYPE:Melee.Dwarven.Bludgeoning.Exotic
Waraxe (Dwarven Double)		TYPE:Melee.Dwarven.Slashing.Exotic
Longaxe (Dwarven)			TYPE:Melee.Dwarven.Slashing.Exotic
Longhammer (Dwarven)		TYPE:Melee.Dwarven.Bludgeoning.Exotic.Reach

# COMMENT: Catfolk Claw Blades
Claw Blades (Catfolk)		TYPE:Melee.Light.ClawBlades.Slashing.Piercing.Finesseable

# COMMENT: Kobold tail attachment weaponprofs
Kobold Tail Attachment		TYPE:Melee.Light.Natural.KoboldTailAttachment
#Tail Attachment (Long Lash)				TYPE:KoboldTailAttachment
#Tail Attachment (Pounder)				TYPE:KoboldTailAttachment
#Tail Attachment (Razored)				TYPE:KoboldTailAttachment
#Tail Attachment (Spiked)				TYPE:KoboldTailAttachment
#Tail Attachment (Sweeper)				TYPE:KoboldTailAttachment

# COMMENT: Ratfolk Tailblade weaponprof
Tailblade (Ratfolk)		TYPE:Melee.Light.RatfolkTailblade.Slashing

# COMMENT: Tengu Terror Kite Proficiency
Terror Kite				TYPE:TerrorKite

# COMMENT: Gillman Sea-Knife
Sea-Knife				TYPE:Melee.Light.SeaKnife.Slashing.Piercing.Martial
