# CVS $Revision$ $Author$ -- Sun Oct 12 14:45:52 2008 -- reformated by prettylst.pl v1.38 (build 7302)
#SOURCELONG:Blood and Guts - Modern Military	SOURCESHORT:BnG-MM	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=23

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:MOS Armor Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:ArmorSkills			PLURAL:MOS Armor Skills				DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Aviation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:AviationSkills		PLURAL:MOS Aviation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Combat Engineering Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:CombatEngineeringSkills	PLURAL:MOS Combat Engineering Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Diver Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:DiverSkills			PLURAL:MOS Diver Skills				DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Field Artillery Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:FieldArtillerySkills	PLURAL:MOS Field Artillery Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Infantry Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:InfantrySkills		PLURAL:MOS Infantry Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Intelligence Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:IntelligenceSkills		PLURAL:MOS Intelligence Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Law Enforcement Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:LawEnforcementSkills	PLURAL:MOS Law Enforcement Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Maintenance Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:MaintenanceSkills		PLURAL:MOS Maintenance Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Medical Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:MedicalSkills		PLURAL:MOS Medical Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS NBC Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:NBCSkills			PLURAL:MOS NBC Skills				DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Pilot Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:PilotSkills			PLURAL:MOS Pilot Skills				DISPLAYLOCATION:Background
ABILITYCATEGORY:MOS Signals Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:SignalsSkills		PLURAL:MOS Signals Skills			DISPLAYLOCATION:Background

