# CVS $Revision: 21399 $ $Author: evilmynex $ -- Mon Sep 16 06:44:37 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Advanced Player's Guide	SOURCESHORT:APG	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8fo1	SOURCEDATE:2010-08
# Original Entry by: Eric C. Smith (Maredudd)

# Weapon Name			Type																Nb Hands
Bomb					TYPE:Exotic.Ranged.Splash
# SIMPLE WEAPONS
# -- unarmed
# Weapon Name			Type																		Nb Hands
#Brass Knuckles			TYPE:Simple.Melee.Unarmed.Bludgeoning

# -- light melee
Cestus				TYPE:Simple.Melee.Light.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing
Stake					TYPE:Simple.Melee.Ranged.Light.Piercing.RangedPiercing

# -- 2-handers
Bayonet				TYPE:Simple.Melee.Piercing.MeleePiercing.TwoHanded
Spear (Boar)			TYPE:Simple.Melee,Piercing.MeleePiercing.Spear.TwoHanded

# Martial
# 1-handers
Sword Cane				TYPE:Martial.Melee.Piercing.MeleePiercing.Sword

# 2-handers
Bardiche				TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded.Polearm
Bec de Corbin			TYPE:Martial.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.Hammer.TwoHanded.Polearm
Bill					TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded.Polearm
Glaive-Guisarme			TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded.Polearm
Lucern Hammer			TYPE:Martial.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.Hammer.TwoHanded.Polearm

# --ranged
#Longbow				TYPE:Martial.Ranged.Piercing.RangedPiercing.Bow											HANDS:2
Chakram				TYPE:Martial.Ranged.Slashing.RangedSlashing
Pilum					TYPE:Martial.Ranged.Piercing.RangedPiercing.Spear

# EXOTIC
# -- light
Dagger (Swordbreaker)		TYPE:Exotic.Melee.Light.Slashing.MeleeSlashing.Dagger.Tengu

# -- 1-handers
Falcata				TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword
Khopesh				TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword
Sword (Temple)			TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword.Monk

# -- 2-handers
Spear (Chain)			TYPE:Exotic.Melee.Piercing.Slashing.MeleePiercing.MeleeSlashing.Spear.TwoHanded
Mancatcher				TYPE:Exotic.Melee.Piercing.MeleePiercing.Spear.TwoHanded

# -- ranged
Boomerang				TYPE:Exotic.Ranged.Bludgeoning.RangedBludgeoning
Crossbow (Double)			TYPE:Exotic.Ranged.Piercing.RangedPiercing.Crossbow								HANDS:2
Lasso					TYPE:Exotic.Ranged.Lasso												HANDS:2

###Weapon Groups:
Bardiche.MOD			TYPE:Axe.Polearm
Chakram.MOD				TYPE:Bladeheavy.Thrown
Falcata.MOD				TYPE:Bladeheavy
Khopesh.MOD				TYPE:Bladeheavy
Sword (Temple).MOD		TYPE:Bladeheavy
Bayonet.MOD				TYPE:Bladelight.Close
Dagger (Swordbreaker).MOD	TYPE:Bladelight
#Brass Knuckles.MOD	TYPE:Close.Monk
#Wooden Stake.MOD	TYPE:Close
Stake.MOD				TYPE:Close
Crossbow (Double).MOD		TYPE:Crossbow
Cestus.MOD				TYPE:Monk
Bec De Corbin.MOD			TYPE:Polearm
Bill.MOD				TYPE:Polearm
Glaive-Guisarme.MOD		TYPE:Polearm
Lucern Hammer.MOD			TYPE:Polearm
Mancatcher.MOD			TYPE:Polearm
Boomerang.MOD			TYPE:Thrown
Lasso.MOD				TYPE:Thrown
Sword Cane.MOD			TYPE:Bladelight
