# CVS $Revision$ $Author$ -- Fri Jul 13 11:41:00 2007 -- reformated by prettylst.pl v1.38 (build 2949)
#SOURCELONG:Pulp Fantasy Roleplaying Game	SOURCESHORT:PulpFntasy	SOURCEWEB:http://battlefieldpress.com
#Original entry by: Eddy Anthony

# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI			Display where?
ABILITYCATEGORY:Antiques Dealer Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Antiques Dealer_Skills	PLURAL:Antiques Dealer Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Artist Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Artist_Skills		PLURAL:Artist Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Bureaucrat Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Bureaucrat_Skills		PLURAL:Bureaucrat Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Circus Performer Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Circus_Performer_Skills	PLURAL:Circus Performer Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Craftsperson Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Craftsperson_Skills	PLURAL:Craftsperson Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Domestic Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Domestic_Skills		PLURAL:Domestic Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Engineer Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Engineer_Skills		PLURAL:Engineer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Escape Artist Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Escape_Artist_Skills	PLURAL:Escape Artist Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Fortuneteller Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Fortuneteller_Skills	PLURAL:Fortuneteller Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Heir Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Heir_Skills			PLURAL:Heir Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Hunter Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Hunter_Skills		PLURAL:Hunter Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Laborer Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Laborer_Skills		PLURAL:Laborer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Outcast Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Outcast_Skills		PLURAL:Outcast Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Politician Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Politician_Skills		PLURAL:Politician Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Stage Magician Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:Stage_Magician_Skills	PLURAL:Stage Magician Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:World Traveller Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Occupation	TYPE:World_Traveller_Skills	PLURAL:World Traveller Occupation Skills	DISPLAYLOCATION:Background

# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display where?
ABILITYCATEGORY:Antiques Dealer Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Antiques_Dealer	PLURAL:Antiques Dealer Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bureaucrat Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Bureaucrat		PLURAL:Bureaucrat Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Circus Performer Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Circus_Performer	PLURAL:Circus Performer Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Craftsperson Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Craftsperson		PLURAL:Craftsperson Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Escape Artist Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Escape_Artist	PLURAL:Escape Artist Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Fortuneteller Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Fortuneteller	PLURAL:Fortuneteller Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Hunter Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Hunter			PLURAL:Hunter Feats		DISPLAYLOCATION:Feats
