# CVS $Revision: 2339 $ $Author: tir-gwaith $ -- Sun Apr 29 00:15:01 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:PCGen Open Gaming Content	SOURCESHORT:PCGen OGC	SOURCEWEB:../../../../docs/sourcehelp/pcgen_ogc_help.html

###Block:Psicrystal
# Class of the Master		Type			Hit Dice
FOLLOWER:PCrystalLevel=2	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=3	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=4	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=5	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=6	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=7	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=8	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=9	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=10	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=11	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=12	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=13	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=14	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=15	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=16	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=17	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=18	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=19	TYPE:Psicrystal	HD:1
FOLLOWER:PCrystalLevel=20	TYPE:Psicrystal	HD:1

#
# End
#
