# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
# I just can't seem to figure out the demiform boots... someone else is welcome to them.
SOURCELONG:Netbook of Magical Treasures	SOURCESHORT:NboMT	SOURCEWEB:http://www.d20magicitems.org/	SOURCEDATE:2002-01
##Wondrous Items
# Equipment Name						Type													Contains				Cost		Weight	Slot Needed	Critical Hit Multiplier	Critical Hit Range	Damage	Range		Source Page						Virtual Feat					Combat bonus						Bonus to skill								Stat bonus					Special Property
Amulet of Healing (Cure Light Wounds 1/day)	TYPE:Magic.Wondrous.Amulet														COST:360	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Light Wounds 2/day)	TYPE:Magic.Wondrous.Amulet														COST:360	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Light Wounds 3/day)	TYPE:Magic.Wondrous.Amulet														COST:360	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Light Wounds 4/day)	TYPE:Magic.Wondrous.Amulet														COST:360	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Light Wounds 5/day)	TYPE:Magic.Wondrous.Amulet														COST:360	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Moderate Wounds 1/day)	TYPE:Magic.Wondrous.Amulet														COST:2160	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Moderate Wounds 2/day)	TYPE:Magic.Wondrous.Amulet														COST:2160	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Moderate Wounds 3/day)	TYPE:Magic.Wondrous.Amulet														COST:2160	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Moderate Wounds 4/day)	TYPE:Magic.Wondrous.Amulet														COST:2160	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Moderate Wounds 5/day)	TYPE:Magic.Wondrous.Amulet														COST:2160	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Serious Wounds 1/day)	TYPE:Magic.Wondrous.Amulet														COST:5400	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Serious Wounds 2/day)	TYPE:Magic.Wondrous.Amulet														COST:5400	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Serious Wounds 3/day)	TYPE:Magic.Wondrous.Amulet														COST:5400	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Serious Wounds 4/day)	TYPE:Magic.Wondrous.Amulet														COST:5400	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Serious Wounds 5/day)	TYPE:Magic.Wondrous.Amulet														COST:5400	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Critical Wounds 1/day)	TYPE:Magic.Wondrous.Amulet														COST:10080	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Critical Wounds 2/day)	TYPE:Magic.Wondrous.Amulet														COST:10080	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Critical Wounds 3/day)	TYPE:Magic.Wondrous.Amulet														COST:10080	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Critical Wounds 4/day)	TYPE:Magic.Wondrous.Amulet														COST:10080	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Cure Critical Wounds 5/day)	TYPE:Magic.Wondrous.Amulet														COST:10080	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Healing Circle 1/day)		TYPE:Magic.Wondrous.Amulet														COST:16200	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Healing Circle 2/day)		TYPE:Magic.Wondrous.Amulet														COST:16200	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Healing Circle 3/day)		TYPE:Magic.Wondrous.Amulet														COST:16200	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Healing Circle 4/day)		TYPE:Magic.Wondrous.Amulet														COST:16200	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Healing Circle 5/day)		TYPE:Magic.Wondrous.Amulet														COST:16200	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Heal 1/day)			TYPE:Magic.Wondrous.Amulet														COST:23760	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Heal 2/day)			TYPE:Magic.Wondrous.Amulet														COST:23760	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
Amulet of Healing (Heal 3/day)			TYPE:Magic.Wondrous.Amulet														COST:23760	WT:0																SOURCEPAGE:pg. 38, Wondrous Items																																	SPROP:See text
