# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
###Block: Combat Tricks
# Ability Name			Unique Key							Category of Ability		Type										Description																																																		Source Page
Aldori Dueling Disciple		KEY:Combat Trick ~ Aldori Dueling Disciple	CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat				DESC:During any combat that is not a duel, you can spend 1 stamina point at the start of your turn to treat the combat as a duel until the start of your next turn for the purpose of gaining the benefits of the Aldori Dueling Discipline feat.											SOURCEPAGE:p.24
Awe-Inspiring Smash		KEY:Combat Trick ~ Awe-Inspiring Smash		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance		DESC:After successfully performing a bull rush or sunder combat maneuver, you can spend up to 5 stamina points to increase the bonus on performance combat checks that you gain from Awe-Inspiring Smash by 1 per stamina point spent.													SOURCEPAGE:p.24
Black Powder Spectacle		KEY:Combat Trick ~ Black Powder Spectacle		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance.Grit	DESC:You can spend 2 stamina points when using Black Powder Spectacle in order to gain a +4 bonus on Intimidate checks and Perform checks for 1 round.																										SOURCEPAGE:p.24
Cannon Master			KEY:Combat Trick ~ Cannon Master			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat				DESC:While acting as the leader of a firearm siege engine crew, you can spend 5 stamina points as an immediate action when the siege engine rolls a misfire to negate the misfire.																						SOURCEPAGE:p.24
Casterbane Shot			KEY:Combat Trick ~ Casterbane Shot			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Grit			DESC:When using Casterbane Shot, you can spend up to 5 stamina points to increase the DC of the concentration check imposed by the feat by an amount equal to the number of stamina points spent.																			SOURCEPAGE:p.24
Duelist of the Roaring Falls	KEY:Combat Trick ~ Duelist of the Roaring Falls	CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat				DESC:When you hit a foe with a melee attack made using an Aldori dueling sword, you can spend 4 stamina points to treat that foe as being shaken for the purpose of gaining a bonus from Duelist of the Roaring Falls until the start of your next turn.										SOURCEPAGE:p.24
Duelist of the Shrouded Lake	KEY:Combat Trick ~ Duelist of the Shrouded Lake	CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat				DESC:By spending 5 stamina points when you attempt a combat maneuver check with an Aldori dueling sword, you gain a +4 bonus to your AC against attacks made by that target until the beginning of your next turn.																SOURCEPAGE:p.24
Falling Water Gambit		KEY:Combat Trick ~ Falling Water Gambit		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat				DESC:By spending 4 stamina points, you gain the ability to attempt a dueling dodge or a dueling parry against attacks made by a shaken, frightened, or panicked opponent, even if you aren't participating in a duel.																SOURCEPAGE:p.25
Ostentatious Weakness		KEY:Combat Trick ~ Ostentatious Weakness		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance		DESC:You can spend 2 stamina points to select another type of favored enemy (and subtype if humanoid or outsider is chosen). For the purposes of Ostentatious Weakness, that type counts as having been chosen with the favored enemy class feature, with a bonus equal to your highest favored enemy bonus.	SOURCEPAGE:p.25
Perfect Style			KEY:Combat Trick ~ Perfect Style			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend up to 5 stamina points to increase the resistance granted to you by Perfect Style by 2 per stamina point spent.																														SOURCEPAGE:p.25
