

STARTTABLE:Item Level Cost,
ItemLevel,Price
NUMBER,NUMBER
1,120
2,360
3,440
4,680
5,720
6,1040
7,1560
8,2300
9,2600
10,3580
11,4880
12,6920
13,9760
14,11700
15,17800
16,27000
17,40500
18,60300
19,90000
20,135000
ENDTABLE:Item Level Cost,


STARTTABLE:Encumbrance,
StrScore,Unencumbered,Encumbered,Overloaded
NUMBER,NUMBER,NUMBER,NUMBER
01,00,01,02
02,01,02,03
03,01,03,04
04,02,04,05
05,02,05,06
06,03,06,07
07,03,07,08
08,04,08,09
09,04,09,10
10,05,10,11
11,05,11,12
12,06,12,13
13,06,13,14
14,07,14,15
15,07,15,16
16,08,16,17
17,08,17,18
18,09,18,19
19,09,19,20
20,10,20,21
21,10,21,22
22,11,22,23
23,11,23,24
24,12,24,25
25,12,25,26
26,13,26,27
27,13,27,28
28,14,28,29
29,14,29,30
30,15,30,31
ENDTABLE:Encumbrance,




