#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Starfinder Core Rulebook	SOURCESHORT:SCR	SOURCEDATE:2017-09
# Original Entry by: Gwen T

###Magic Items###
# Equipment Name					Type								Contains					Cost		Weight	Requires Modification?	Source Page		Bonus Ability Pool				Caster level				Bonus to skill							Modify VAR			Quality and value														Special Property
Aeon Stone (Clear Spindle)			TYPE:Magic.Aeon.WornMagic										COST:245							SOURCEPAGE:p.222																											QUALITY:Level|1	QUALITY:Bulk|-
Aeon Stone (Dark Blue Rhomboid)		TYPE:Magic.Aeon.WornMagic										COST:18000							SOURCEPAGE:p.222														BONUS:SKILL|Perception,Sense Motive|2|TYPE=Insight					QUALITY:Level|10	QUALITY:Bulk|-
Aeon Stone (Iridescent Spindle)		TYPE:Magic.Aeon.WornMagic										COST:740							SOURCEPAGE:p.222																											QUALITY:Level|2	QUALITY:Bulk|-
Aeon Stone (Pearly White Spindle)		TYPE:Magic.Aeon.WornMagic										COST:25000							SOURCEPAGE:p.222								BONUS:CASTERLEVEL|TYPE.Spell|1														QUALITY:Level|11	QUALITY:Bulk|-
Amulet of Camouflage				TYPE:Magic.Amulet.WornMagic										COST:300							SOURCEPAGE:p.223																											QUALITY:Level|3	QUALITY:Bulk|-
Charge Cloak					TYPE:Magic.Cloak.WornMagic										COST:200	WT:0.1					SOURCEPAGE:p.223																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Glove of Storing					TYPE:Magic.Glove.WornMagic										COST:4600	WT:0.1					SOURCEPAGE:p.223																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Ring of Cosmic Alignment			TYPE:Magic.Ring.WornMagic										COST:25000							SOURCEPAGE:p.224																											QUALITY:Level|11	QUALITY:Bulk|-
Ring of Resistance Mk 1				TYPE:Magic.Ring.WornMagic										COST:735							SOURCEPAGE:p.223	BONUS:ABILITYPOOL|Ring of Resistance +1|1																				QUALITY:Level|2	QUALITY:Bulk|-											SPROP:+1 on weakest (or choice of weakest) base save
Ring of Resistance Mk 2				TYPE:Magic.Ring.WornMagic										COST:4200							SOURCEPAGE:p.223	BONUS:ABILITYPOOL|Ring of Resistance +2|1																				QUALITY:Level|6	QUALITY:Bulk|-											SPROP:+2 on weakest (or choice of weakest) base save
Ring of Resistance Mk 3				TYPE:Magic.Ring.WornMagic										COST:18100							SOURCEPAGE:p.223	BONUS:ABILITYPOOL|Ring of Resistance +3|1																				QUALITY:Level|10	QUALITY:Bulk|-											SPROP:+3 on weakest (or choice of weakest) base save
Ring of Resistance Mk 4				TYPE:Magic.Ring.WornMagic										COST:70000							SOURCEPAGE:p.223	BONUS:ABILITYPOOL|Ring of Resistance +4|1																				QUALITY:Level|14	QUALITY:Bulk|-											SPROP:+4 on weakest (or choice of weakest) base save
Ring of Resistance Mk 5				TYPE:Magic.Ring.WornMagic										COST:361500							SOURCEPAGE:p.223	BONUS:ABILITYPOOL|Ring of Resistance +5|1																				QUALITY:Level|18	QUALITY:Bulk|-											SPROP:+5 on weakest (or choice of weakest) base save
Ring of Sustenance				TYPE:Magic.Ring.WornMagic										COST:2925							SOURCEPAGE:p.223																											QUALITY:Level|5	QUALITY:Bulk|-
Ring of Whispers					TYPE:Magic.Ring.WornMagic										COST:300							SOURCEPAGE:p.223																											QUALITY:Level|1	QUALITY:Bulk|-
Rod of Cancellation				TYPE:Magic.Rod												COST:2100	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|9	QUALITY:Bulk|L
Serum of Appearance Change			TYPE:Magic.Serum.Consumable										COST:75	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Serum of Enhancement (Commando)		TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+2 insight bonus to Acrobatics and Athletics checks, and gain temporary Hit Points equal to half your level.
Serum of Enhancement (Diplomat)		TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+2 insight bonus to Bluff and Diplomacy checks. If Intelligence of 3 or greater, gain the ability to comprehend, speak, and understand one language heard in the last 10 minutes.
Serum of Enhancement (Scientist)		TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+2 insight bonus to Computers, Engineering, and Physical Science checks and can attempt checks with all three skills untrained.
Serum of Enhancement (Sensate)		TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+1 insight bonus to Life Science and Mysticism checks and can attempt checks with both skills untrained.
Serum of Enhancement (Sneak)			TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+2 insight bonus to Sleight of Hand and Stealth checks and can attempt checks with both skills untrained.
Serum of Enhancement (Warrior)		TYPE:Magic.Serum.Consumable										COST:475	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L											SPROP:+2 insight bonus to Intimidate and Sense Motive checks; when you successfully demoralizes an opponent, the opponent is shaken for an extra round.
Serum of Healing Mk 1				TYPE:Magic.Serum.Consumable										COST:50	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Serum of Healing Mk 2				TYPE:Magic.Serum.Consumable										COST:425	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Serum of Healing Mk 3				TYPE:Magic.Serum.Consumable										COST:1950	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|9	QUALITY:Bulk|L
Serum of Sex Shift				TYPE:Magic.Serum.Consumable										COST:350	WT:0.1					SOURCEPAGE:p.225																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Shadow Orb						TYPE:Magic.LightSource											COST:2850	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L	QUALITY:Decreases light level by one step|20-ft. radius	SPROP:Laser attacks against user are at +1, fire resistance 5 against lasers.
Staff of Mystic Healing				TYPE:Magic.Staff												COST:3700	WT:1						SOURCEPAGE:p.224																							BONUS:VAR|Bulk|1		QUALITY:Level|5	QUALITY:Bulk|1
Tiara of Translocation Mk 1			TYPE:Magic.Headgear.WornMagic										COST:11750	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Tiara of Translocation Mk 2			TYPE:Magic.Headgear.WornMagic										COST:185000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|16	QUALITY:Bulk|L
Tiara of Translocation Mk 3			TYPE:Magic.Headgear.WornMagic										COST:410000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|18	QUALITY:Bulk|L
Tiara of Translocation Mk 4			TYPE:Magic.Headgear.WornMagic										COST:875000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|20	QUALITY:Bulk|L

###Hybrid Itmes###
Digital Harrow Deck				TYPE:Magic.Hybrid												COST:3500	WT:0.1					SOURCEPAGE:p.226																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Efficient Bandolier				TYPE:Magic.Hybrid.Container.Shirt.WornMagic	CONTAINS:*5|Ammunition|Battery	COST:2000	WT:0.1					SOURCEPAGE:p.226																							BONUS:VAR|BulkLight|1	QUALITY:Level|4	QUALITY:Bulk|L
Mindlink Circlet Mk 1				TYPE:Magic.Hybrid.Headgear.WornMagic								COST:1600	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Mindlink Circlet Mk 2				TYPE:Magic.Hybrid.Headgear.WornMagic								COST:11000	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|8	QUALITY:Bulk|L
Mindlink Circlet Mk 3				TYPE:Magic.Hybrid.Headgear.WornMagic								COST:78000	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|14	QUALITY:Bulk|L
Mnemonic Editor Mk 1				TYPE:Magic.Hybrid												COST:500	WT:10						SOURCEPAGE:p.226																							BONUS:VAR|Bulk|10		QUALITY:Level|5	QUALITY:Bulk|10
Mnemonic Editor Mk 2				TYPE:Magic.Hybrid												COST:3000	WT:10						SOURCEPAGE:p.226																							BONUS:VAR|Bulk|10		QUALITY:Level|10	QUALITY:Bulk|10
Mnemonic Editor Mk 3				TYPE:Magic.Hybrid												COST:20000	WT:10						SOURCEPAGE:p.226																							BONUS:VAR|Bulk|10		QUALITY:Level|15	QUALITY:Bulk|10
Mnemonic Editor Mk 4				TYPE:Magic.Hybrid												COST:125000	WT:10						SOURCEPAGE:p.226																							BONUS:VAR|Bulk|10		QUALITY:Level|20	QUALITY:Bulk|10
Null-Space Chamber Mk 1				TYPE:Magic.Hybrid.Container				CONTAINS:*25				COST:3050	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Null-Space Chamber Mk 2				TYPE:Magic.Hybrid.Container				CONTAINS:*50				COST:12250	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|9	QUALITY:Bulk|L
Null-Space Chamber Mk 3				TYPE:Magic.Hybrid.Container				CONTAINS:*100				COST:50000	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|13	QUALITY:Bulk|L
Null-Space Chamber Mk 4				TYPE:Magic.Hybrid.Container				CONTAINS:*200				COST:250000	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Psychic Booster					TYPE:Magic.Hybrid.Headgear.WornMagic								COST:2000	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|4	QUALITY:Bulk|L
Starstone Compass					TYPE:Magic.Hybrid												COST:3	WT:0.1					SOURCEPAGE:p.227																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L

###Spell Ampoules###
Spell Ampoule (Stabilize)			TYPE:Magic.SpellAmpoule.Consumable									COST:200	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Ampoule (Flight (Level 1))		TYPE:Magic.SpellAmpoule.Consumable									COST:300	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Spell Ampoule (Keen Senses)			TYPE:Magic.SpellAmpoule.Consumable									COST:300	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Spell Ampoule (Life Bubble)			TYPE:Magic.SpellAmpoule.Consumable									COST:300	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Spell Ampoule (Mystic Cure (Level 1))	TYPE:Magic.SpellAmpoule.Consumable									COST:300	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Spell Ampoule (Remove Condition (Lesser))	TYPE:Magic.SpellAmpoule.Consumable									COST:300	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|3	QUALITY:Bulk|L
Spell Ampoule (Darkvision)			TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Flight (Level 2))		TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Invisibility)			TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Mystic Cure (Level 2))	TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Remove Condition)		TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Restoration (Lesser))	TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
