# CVS $Revision$ $Author$ -- Thu Jan 24 20:10:06 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Oathbound - Domains of the Forge	SOURCESHORT:Oathbound	SOURCEWEB:http://www.bastionpress.com	SOURCEDATE:2003-08
# Input by Ruemere, email: ruemere@poczta.onet.pl

# Weapon Name			Type
Bladeharp				TYPE:Exotic
Cukri					TYPE:Exotic
Dagger (Triple-Bladed)		TYPE:Exotic
Harpoon				TYPE:Exotic
Mace (Ox Head)			TYPE:Exotic
Maul (Bladed)			TYPE:Martia
Pick (Rafter's-Unextended)	TYPE:Martia
Pick (Rafter's-Extended)	TYPE:Martia
Rang Blade				TYPE:Exotic
Schiavona				TYPE:Martial
# Shortstaff undefined, using Quarterstaff, size Medium
Shortstaff				TYPE:Simple
