#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: 21640 $ $Author: amaitland $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Heroes of the Street	SOURCESHORT:HotS	SOURCEWEB:http://paizo.com/products/btpy9ghc?Pathfinder-Player-Companion-Heroes-of-the-Streets	SOURCEDATE:2015-10
# Original Entry By: Gwen T. (evilpixie87)

# ==============================
# Subdomain Associations
# ==============================

# Deity Name		Domains
Daikitsu.MOD		DOMAINS:Industry Subdomain|PREALIGN:CN,LN,TN,NG,NE	DOMAINS:Education Subdomain (Community)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:CN,LN,TN,NG,NE
Fumeiyoshi.MOD		DOMAINS:Duels Subdomain,Plague Subdomain (Death),Plague Subdomain (Evil)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:TN,NE,CE,LE
General Susumu.MOD	DOMAINS:Duels Subdomain,Plague Subdomain (Evil)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:LN,LE,NE
Hei Feng.MOD		DOMAINS:Riot Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:CG,CN,TN,CE
Kofusachi.MOD		DOMAINS:Riot Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:CG,NG,CN
Lady Nanbyo.MOD		DOMAINS:Plague Subdomain (Evil),Riot Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:CN,CE,NE
Lao Shu Po.MOD		DOMAINS:Espionage Subdomain (Trickery),Plague Subdomain (Evil)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:TN,NE,LE,CE
Nalinivati.MOD		DOMAINS:Legislation Subdomain (Rune)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:NG,TN,LN,CN,NE
Qi Zhong.MOD		DOMAINS:Education Subdomain (Knowledge),Espionage Subdomain (Knowledge),Fortifications Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:LG,NG,CG,TN
Sun Wukong.MOD		DOMAINS:Espionage Subdomain (Trickery),Riot Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:CG,CN,CE
Yaezhing.MOD		DOMAINS:Espionage Subdomain (Trickery),Plague Subdomain (Death),Plague Subdomain (Evil)|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:LE,LN,NE
Yamatsumi.MOD		DOMAINS:Competition Subdomain,Fortifications Subdomain|PREABILITY:1,CATEGORY=Special Ability,Trait ~ Urban Acolyte|PREALIGN:TN,NG,LN,CN,NE
