# CVS $Revision$ $Author$ -- Thu May 28 10:08:57 2009 -- reformated by prettylst.pl v1.39 (build 9548)
SOURCELONG:Pathfinder Roleplaying Game Core Rulebook	SOURCESHORT:PFCR	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/pathfinderRPG/v5748btpy8255	SOURCEDATE:2009-08
# Original Entry by: Stefan Radermacher

# Costs are missing from the Beta, keeping SRD prices.

###Block: Poisons
# Equipment Name				Output Name		Type					Cost		Weight	Source Page		Special Property
Poison (Arsenic)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.391	SPROP:Ingested; Fort DC 13; Freq. 1 round (5); Effect 1 Con damage; Cure 1 save
Poison (Black Adder Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.391	SPROP:Injury; Fort DC 11; Freq. 1 round (6); Effect 1 Con damage; Cure 1 save
Poison (Black Lotus Extract)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:4500	WT:0		SOURCEPAGE:p.391	SPROP:Contact; Fort DC 20; Freq. 1 round (7); Effect 3 Con damage; Cure 1 save
Poison (Bloodroot)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.391	SPROP:Injury; Fort DC 12; Freq. 1 round (3); Effect 1 Con damage and 1 Wis damage; Cure 1 save
Poison (Blue Whinnis)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.391	SPROP:Injury; Fort DC 14; Freq. 1 round (2); Effect 1 Con damage/unconsciousness for 1d3 hours; Cure 1 save
Poison (Burnt Othur Fumes)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:2100	WT:0		SOURCEPAGE:p.392	SPROP:Inhaled; Fort DC 18; Freq. 1 round (4); Effect 1 Con drain/3 Con damage; Cure 1 save
Poison (Dark Reaver Powder)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0		SOURCEPAGE:p.392	SPROP:Ingested; Fort DC 18; Freq. 1 round (5); Effect 2 Con damage/1 Con damage and 1 Str damage; Cure 1 save
Poison (Deathblade)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1800	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 20; Freq. 1 round (5); Effect 2 Con damage; Cure 1 save
Poison (Dragon Bile)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.392	SPROP:Contact; Fort DC 26; Freq. 1 round (3); Effect 3 Str damage; Cure 1 save
Poison (Drow Poison)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:75	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 13; Freq. 1 minute (1); Effect unconsciousness for 1 minute/unconsciousness for 2d4 hours; Cure 1 save
Poison (Giant Wasp Poison)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:210	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 18; Freq. 1 round (4); Effect 1 Dex damage; Cure 1 save
Poison (Greenblood Oil)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 13; Freq. 1 round (2); Effect 1 Con damage; Cure 1 save
Poison (Id Moss)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:125	WT:0		SOURCEPAGE:p.392	SPROP:Ingested; Fort DC 14; Freq. 1 round (5); Effect 2 Int damage; Cure 1 save
Poison (Insanity Mist)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.392	SPROP:Inhaled; Fort DC 15; Freq. 1 round (5); Effect 2 Wis damage; Cure 1 save
Poison (King's Sleep)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable			WT:0		SOURCEPAGE:p.393	SPROP:Ingested; Fort DC 19; Freq. 1 day; Effect 1 Con drain; Cure 2 consecutive saves
Poison (Large Scorpion Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:200	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 18; Freq. 1 round (4); Effect 1 Str damage; Cure 1 save
Poison (Lich Dust)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0		SOURCEPAGE:p.392	SPROP:Ingested; Fort DC 17; Freq. 1 round (5); Effect 2 Str damage; Cure 1 save
Poison (Malyass Root Paste)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:500	WT:0		SOURCEPAGE:p.392	SPROP:Contact; Fort DC 16; Freq. 1 round (6); Effect 1 Dex damage; Cure 1 save
Poison (Medium Spider Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 14; Freq. 1 round (3); Effect 1 Str damage; Cure 1 save
Poison (Nightmare Vapor)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable			WT:0		SOURCEPAGE:p.393	SPROP:Inhaled; Fort DC 20; Freq. 1 round (5); Effect 1 Wis damage and 1 Wis drain; Cure 2 consecutive saves
Poison (Nitharit)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:650	WT:0		SOURCEPAGE:p.392	SPROP:Contact; Fort DC 13; Freq. 1 round (6); Effect 0/2 Con damage; Cure 1 save
Poison (Oil of Taggit)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:90	WT:0		SOURCEPAGE:p.392	SPROP:Ingested; Fort DC 15; Freq. 1 minute (1); Effect 0/unconsciousness for 1d3 hours; Cure 1 save
Poison (Purple Worm Poison)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:700	WT:0		SOURCEPAGE:p.392	SPROP:Injury; Fort DC 24; Freq. 1 round (5); Effect 2 Str damage; Cure 1 save
Poison (Sassone Leaf Residue)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0		SOURCEPAGE:p.392	SPROP:Contact; Fort DC 16; Freq. 1 round (4); Effect 1d6 hit points; Cure 1 save
Poison (Shadow Essence)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0		SOURCEPAGE:p.393	SPROP:Inhaled; Fort DC 17; Freq. 1 round (7); Effect 1 Str drain/1 Str damage; Cure 1 save
Poison (Small Centipede Poison)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:90	WT:0		SOURCEPAGE:p.393	SPROP:Injury; Fort DC 11; Freq. 1 round (2); Effect 1 Dex damage; Cure 1 save
Poison (Striped Toadstool)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:180	WT:0		SOURCEPAGE:p.393	SPROP:Ingested; Fort DC 11; Freq. 1 round (5); Effect 1 Wis damage/2 Wis damage plus 1 Int damage; Cure 1 save
Poison (Tears of Death)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable			WT:0		SOURCEPAGE:p.393	SPROP:Contact; Fort DC 22; Freq. 1 minute (5); Effect 1d6 Con damage; Cure none
Poison (Terinav Root)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:750	WT:0		SOURCEPAGE:p.393	SPROP:Contact; Fort DC 16; Freq. 1 round (5); Effect 2 Dex damage; Cure 1 save
Poison (Ungol Dust)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1000	WT:0		SOURCEPAGE:p.393	SPROP:Inhaled; Fort DC 15; Freq. 1 round (3); Effect 1 Cha damage/1 Con damage and 1 Cha drain; Cure 1 save
Poison (Wyvern Poison)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:3000	WT:0		SOURCEPAGE:p.393	SPROP:Injury; Fort DC 17; Freq. 1 round (7); Effect 2 Con damage; Cure 1 save
