SOURCELONG:System Reference Document 5.0	SOURCESHORT:SRD5	SOURCEWEB:http://dnd.wizards.com/articles/features/systems-reference-document-srd
# Original Entry: See contributors listed in PCC file.

# Monsters begin on page 264, appendix creatures are on page 361

###Block: Monsters -- Page 264
Aboleth							ABILITY:Internal|AUTOMATIC|Racial Trait ~ Aboleth								SOURCEPAGE:p.13			SIZE:L	RACETYPE:Aberration	KIT:1|LE	BONUS:VAR|AC_Natural_Armor|8|TYPE=Racial	MONSTERCLASS:Hit Die:18	MOVE:Walk,10,Swim,40	BONUS:STAT|STR|10	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	BONUS:VAR|DarkvisionRange|120|TYPE=Base	BONUS:VAR|TelepathyRange|120|TYPE=Base	CR:10
Angel (Deva)					OUTPUTNAME:Deva								ABILITY:Internal|AUTOMATIC|Racial Trait ~ Angel (Deva)									SOURCEPAGE:p.16		KEY:Angel (Deva)					SORTKEY:Angel	SIZE:M	RACETYPE:Celestial	KIT:1|LG	BONUS:VAR|AC_Natural_Armor|3|TYPE=Racial	MONSTERCLASS:Hit Die:16	MOVE:Walk,30,Fly,90	BONUS:STAT|STR|8	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|10	BONUS:VAR|DarkvisionRange|120|TYPE=Base	CR:10
Angel (Planetar)					OUTPUTNAME:Planetar							ABILITY:Internal|AUTOMATIC|Racial Trait ~ Angel (Planetar)								SOURCEPAGE:p.17		KEY:Angel (Planetar)				SORTKEY:Angel	SIZE:L	RACETYPE:Celestial	KIT:1|LG	BONUS:VAR|AC_Natural_Armor|4|TYPE=Racial	MONSTERCLASS:Hit Die:16	MOVE:Walk,40,Fly,120	BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|14	BONUS:STAT|INT|8	BONUS:STAT|WIS|12	BONUS:STAT|CHA|14	BONUS:VAR|DarkvisionRange|0|TYPE=Base	CR:10
Angel (Solar)					OUTPUTNAME:Solar								ABILITY:Internal|AUTOMATIC|Racial Trait ~ Angel (Solar)									SOURCEPAGE:p.18		KEY:Angel (Solar)					SORTKEY:Angel	SIZE:L	RACETYPE:Celestial	KIT:1|LG	BONUS:VAR|AC_Natural_Armor|5|TYPE=Racial	MONSTERCLASS:Hit Die:18	MOVE:Walk,50,Fly,150	BONUS:STAT|STR|16	BONUS:STAT|DEX|12	BONUS:STAT|CON|16	BONUS:STAT|INT|14	BONUS:STAT|WIS|14	BONUS:STAT|CHA|20	BONUS:VAR|TrueSightRange|120|TYPE=Base	BONUS:VAR|TelepathyRange|120|TYPE=Base	CR:21
Animated Object (Animated Armor)		OUTPUTNAME:Animated Armor						ABILITY:Internal|AUTOMATIC|Racial Trait ~ Animated Object (Animated Armor)							SOURCEPAGE:p.19		KEY:Animated Object (Animated Armor)	SORTKEY:Animated Object	SIZE:M	RACETYPE:Construct	KIT:1|UA	BONUS:VAR|AC_Natural_Armor|8|TYPE=Racial	MONSTERCLASS:Hit Die:6	MOVE:Walk,25	BONUS:STAT|STR|4	BONUS:STAT|DEX|0	BONUS:STAT|CON|2	BONUS:STAT|INT|-10	BONUS:STAT|WIS|-8	BONUS:STAT|CHA|-10	BONUS:VAR|BlindsightRange|60|TYPE=Base	CR:1
Animated Object (Flying Sword)		OUTPUTNAME:Flying Sword							ABILITY:Internal|AUTOMATIC|Racial Trait ~ Animated Object (Flying Sword)									SOURCEPAGE:p.20		KEY:Animated Object (Flying Sword)		SORTKEY:Animated Object	SIZE:S	RACETYPE:Construct	KIT:1|UA	BONUS:VAR|AC_Natural_Armor|5|TYPE=Racial	MONSTERCLASS:Hit Die:5	MOVE:Walk,0,Fly,50	BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|0	BONUS:STAT|INT|-10	BONUS:STAT|WIS|-6	BONUS:STAT|CHA|-10	BONUS:VAR|BlindsightRange|60|TYPE=Base	CR:1/4
Animated Object (Rug of Smothering)		OUTPUTNAME:Rug of Smothering						ABILITY:Internal|AUTOMATIC|Racial Trait ~ Animated Object (Rug of Smothering)							SOURCEPAGE:p.20		KEY:Animated Object (Rug of Smothering)	SORTKEY:Animated Object	SIZE:L	RACETYPE:Construct	KIT:1|UA	MONSTERCLASS:Hit Die:6	MOVE:Walk,10	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|0	BONUS:STAT|INT|-10	BONUS:STAT|WIS|-8	BONUS:STAT|CHA|-10	BONUS:VAR|BlindsightRange|60|TYPE=Base	CR:2
Ankheg							ABILITY:Internal|AUTOMATIC|Racial Trait ~ Ankheg												SOURCEPAGE:p.21			SIZE:L	RACETYPE:Monstrosity	KIT:1|UA	BONUS:VAR|AC_Natural_Armor|4|TYPE=Racial	MONSTERCLASS:Hit Die:6	MOVE:Walk,30,Burrow,10	BONUS:STAT|STR|6	BONUS:STAT|DEX|0	BONUS:STAT|CON|2	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	BONUS:VAR|DarkvisionRange|60|TYPE=Base	CR:2
Azer								ABILITY:Internal|AUTOMATIC|Racial Trait ~ Azer									SOURCEPAGE:p.22			SIZE:M	RACETYPE:Elemental	KIT:1|LN	BONUS:VAR|AC_Natural_Armor|4|TYPE=Racial	MONSTERCLASS:Hit Die:6	MOVE:Walk,30	BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|0	CR:2

Basilisk							ABILITY:Internal|AUTOMATIC|Racial Trait ~ Basilisk								SOURCEPAGE:p.24			SIZE:L	RACETYPE:Monstrosity	KIT:1|UA	BONUS:VAR|AC_Natural_Armor|6|TYPE=Racial	MONSTERCLASS:Hit Die:8	MOVE:Walk,20	BONUS:STAT|STR|6	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4	BONUS:VAR|DarkvisionRange|60|TYPE=Base	CR:3
Behir								ABILITY:Internal|AUTOMATIC|Racial Trait ~ Behir									SOURCEPAGE:p.25			SIZE:H	RACETYPE:Monstrosity	KIT:1|NE	BONUS:VAR|AC_Natural_Armor|4|TYPE=Racial	MONSTERCLASS:Hit Die:16	MOVE:Walk,50,Climb,40	BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	BONUS:VAR|DarkvisionRange|90|TYPE=Base	CR:11
