#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:System Reference Document	SOURCESHORT:SRD5	SOURCEWEB:http://dnd.wizards.com/articles/features/systems-reference-document-srd	SOURCEDATE:2016-01
# Original Entry: See contributors listed in PCC file.

# Celtic Deities
#Deity Alignment Suggested Domains Symbol
# Deity Name	SORTKEY			Unique Key				Description of Deity/Title						FACT											FACTSET				Align
The Daghdha		SORTKEY:04_Celtic		KEY:Celtic ~ The Daghdha	DESC:Nature, Trickery Bubbling cauldron or shield		FACT:Title|The Daghdha, god of weather and crops			FACTSET:Pantheon|Celtic		ALIGN:CG
Arawn			SORTKEY:04_Celtic		KEY:Celtic ~ Arawn		DESC:Life, Death Black star on gray background			FACT:Title|Arawn, god of life and death					FACTSET:Pantheon|Celtic		ALIGN:NE
Belenus		SORTKEY:04_Celtic		KEY:Celtic ~ Belenus		DESC:Light Solar disk and standing stones				FACT:Title|Belenus, god of sun, light, and warmth			FACTSET:Pantheon|Celtic		ALIGN:NG
Brigantia		SORTKEY:04_Celtic		KEY:Celtic ~ Brigantia		DESC:Life Footbridge							FACT:Title|Brigantia, goddess of rivers and livestock			FACTSET:Pantheon|Celtic		ALIGN:NG
Diancecht		SORTKEY:04_Celtic		KEY:Celtic ~ Diancecht		DESC:Life Crossed oak and mistletoe branches			FACT:Title|Diancecht, god of medicine and healing			FACTSET:Pantheon|Celtic		ALIGN:LG
Dunatis		SORTKEY:04_Celtic		KEY:Celtic ~ Dunatis		DESC:Nature Red sun-capped mountain peak				FACT:Title|Dunatis, god of mountains and peaks				FACTSET:Pantheon|Celtic		ALIGN:TN
Goibhniu		SORTKEY:04_Celtic		KEY:Celtic ~ Goibhniu		DESC:Knowledge, Life Giant mallet over sword			FACT:Title|Goibhniu, god of smiths and healing				FACTSET:Pantheon|Celtic		ALIGN:NG
Lugh			SORTKEY:04_Celtic		KEY:Celtic ~ Lugh			DESC:Knowledge, Life Pair of long hands				FACT:Title|Lugh, god of arts, travel, and commerce			FACTSET:Pantheon|Celtic		ALIGN:CN
Manannan mac Lir	SORTKEY:04_Celtic		KEY:Celtic ~ Manannan mac Lir	DESC:Nature, Tempest Wave of white water on green		FACT:Title|Manannan mac Lir, god of oceans and sea creatures	FACTSET:Pantheon|Celtic		ALIGN:LN
Math Mathonwy	SORTKEY:04_Celtic		KEY:Celtic ~ Math Mathonwy	DESC:Knowledge Staff							FACT:Title|Math Mathonwy, god of magic					FACTSET:Pantheon|Celtic		ALIGN:NE
Morrigan		SORTKEY:04_Celtic		KEY:Celtic ~ Morrigan		DESC:War Two crossed spears						FACT:Title|Morrigan, goddess of battle					FACTSET:Pantheon|Celtic		ALIGN:CE
