# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01
# Original Entry by: Paul W. King

###Block: Ammumition

# Equipment Name			Output Name						Type									Cost		Weight	Source Page
Bullet (5.56mm/20)		OUTPUTNAME:5.56mm Bullets, 20 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:4	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (7.62mm/20)		OUTPUTNAME:7.62mm Bullets, 20 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:4	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (7.62mmR/20)		OUTPUTNAME:7.62mmR Bullets, 20 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:4	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (9mm/50)			OUTPUTNAME:9mm Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (10mm/50)			OUTPUTNAME:10mm Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.22/50)			OUTPUTNAME:.22 Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:4	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.32/50)			OUTPUTNAME:.32 Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.38S/50)			OUTPUTNAME:.38S Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.357/50)			OUTPUTNAME:.357 Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.44/50)			OUTPUTNAME:.44 Bullets, 50 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:5	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
Bullet (.444/20)			OUTPUTNAME:.444 Bullets, 20 pack		TYPE:Ammunition.Standard.Metal.Bullet			COST:6	WT:0		SOURCEPAGE:msrdequipmentweaponsandarmor.rtf
