# CVS $Revision$ $Author$ -- Mon Sep 15 21:55:54 2014 -- reformated by prettylst.pl v1.51 (build 25129)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01
# Ability Name			Output Name			Category of Ability		Type						Visible	Special ABility																										Define
Default								CATEGORY:Internal

# Ability Name			Output Name			Category of Ability		Type						Visible	Special ABility																										Define
Ability Surge							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Ability Surge (Ex)|PREVAREQ:AbilitySurge,0	DESC:Ability Surge %1/day|AbilitySurge|PREVARGT:AbilitySurge,0										DEFINE:AbilitySurge|0
Absrobe								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Absrobe (Ex)
Acid									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acid (Ex)
Acid Spit								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acid Spit (Ex)
Acid Spittle							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acid Spittle (Ex)
Acid Spray								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acid Spray (Ex)
Acid Touch								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acid Touch (Ex)
Acidic Blood							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acidic Blood (Ex)
Acidic Enzymes							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Acidic Enzymes (Ex)
Actinic Light							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Actinic Light (Sp)
Alien Physiolgoy							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Alien Physiolgoy (Ex)
All-Around Vision							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:All-Around Vision (Ex)
Alternate Form							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Alternate Form (Su)
Amphibious								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Amphibious (Ex)
Anesthetic Bite							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Anesthetic Bite (Ex)
