# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)


# Ability Category			Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object	Display Location
ABILITYCATEGORY:Gunnery Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Gunnery	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Passion Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:Passion	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Pure Heart Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:FEAT			TYPE:PureHeart	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Military Weapon	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:MilitaryWeapon	DISPLAYLOCATION:Feat
ABILITYCATEGORY:Home Language		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:HomeLanguage		DISPLAYLOCATION:Feat
ABILITYCATEGORY:Fame Support		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:FameSupport	DISPLAYLOCATION:Feat
ABILITYCATEGORY:Damnation Reward			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:DamnationReward	DISPLAYLOCATION:Feat
ABILITYCATEGORY:Triumphant Hero of Launhym	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	DISPLAYLOCATION:Feat	ABILITYLIST:Leadership|Triumphant Hero Ability Score Bonus
ABILITYCATEGORY:Tutored Knowledge			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	DISPLAYLOCATION:Feat	ABILITYLIST:Tutored Knowledge
ABILITYCATEGORY:Tutored Craft				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	DISPLAYLOCATION:Feat	ABILITYLIST:Tutored Craft
ABILITYCATEGORY:Infamous				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	DISPLAYLOCATION:Feat	ABILITYLIST:Infamous
ABILITYCATEGORY:Homefront Guardian Skill Bonus				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	DISPLAYLOCATION:Feat	ABILITYLIST:Homefront Guardian Skill Bonus



# ABility
ABILITYCATEGORY:Star Sign Choice	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	CATEGORY:Special Ability	TYPE:StarSign	DISPLAYLOCATION:Class Abilities
