
###Block: 
Weapon Trick			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.8	DESC:Choose one weapon trick option (one-handed weapon, polearm, ranged, two-handed weapon, two-weapon, or weapon and shield). You can perform weapon tricks in combat when armed appropriately for that option.	PRETEXT:Prerequisite: Base attack bonus +1.	PRETOTALAB:1	BENEFIT: You can use any weapon tricks relating to the chosen weapon option if you meet the trick's prerequisites and are proficient with any weapon or shield that you use as part of the trick. Special: You can gain Weapon Trick multiple times. Each time you take the feat, it applies to a new weapon trick option.
Divine Fighting Technique	TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.10	DESC:You have trained in the fighting technique of a deity.	PRETEXT:Prerequisite: Same alignment as chosen deity.	BENEFIT: Select a deity. You can use that deity's fighting technique and receive any benefit for which you qualify, as described in the Divine Fighting Techniques section below. Special: You can gain this feat multiple times. Each time you take this feat, it applies to a new deity's divine fighting technique.

###Block: Racial Feats	12
Dwarven Fury			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You can channel your hatred against many opponents.		PRETEXT:Prerequisites: Dwarven Hatred Style, Dwarven Seething, base attack bonus +7, defensive training and hatred racial traits, Medium size.		BENEFIT:When using Dwarven Seething, you can maintain bonuses from both your defensive training racial trait and hatred racial trait's against any number of opponents.
Dwarven Hatred Style		TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You harness hatred into ferocity.		PRETEXT:Prerequisites: Base attack bonus +1, defensive training and hatred racial traits, Medium size.		BENEFIT:You apply your hatred racial trait's bonus on both attack rolls and weapon damage rolls against creatures of the appropriate type or subtype and increase the bonus to +2.
Dwarven Seething			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:Your hatred drives every swing of your weapon.		PRETEXT:Prerequisites: Dwarven Hatred Style, base attack bonus +5, defensive training and hatred racial traits, Medium size.		BENEFIT:While using Dwarven Hatred Style, when an opponent hits you with an attack (including a spell that requires an attack roll), you can apply your defensive training or your hatred racial trait bonus (your choice) against that target, regardless of the opponent's type or subtype, as an immediate action. This ability lasts until the opponent dies, the combat ends, you change styles, or you designate a different opponent with this ability, whichever occurs first.
Elven Battle Focus		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:Your fighting style is enhanced by your keen intellect.		PRETEXT:Prerequisites: Int 13, Elven Battle Style, Elven Battle TrainingARG, Weapon Finesse, base attack bonus +4, weapon familiarity racial trait.		BENEFIT:While using Elven Battle Style, you can add your Intelligence modifier to that weapon's damage (instead of any other ability bonus or modifier you can add to your weapon damage). The weapon must be one appropriate for your size.
Elven Battle Style		TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You wield traditional elven weapons with grace.		PRETEXT:Prerequisites: Elven Battle TrainingARG, Weapon Finesse, base attack bonus +1, weapon familiarity racial trait.		BENEFIT:While wielding a longsword, a rapier, or any melee weapon that has “elven” in its name, combat maneuver checks attempted with that weapon as attacks of opportunity don't themselves provoke attacks of opportunity.
Elven Battle Torrent		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You rapidly counter enemy attacks.		PRETEXT:Prerequisites: Int 13, Elven Battle Focus, Elven Battle Style, Elven Battle TrainingARG, Weapon Finesse, base attack bonus +10, weapon familiarity racial trait.		BENEFIT:While using Elven Battle Style, any opponent that makes an attack against you and misses while you are fighting defensively or using total defense or the Combat Expertise feat provokes an attack of opportunity from you. Even if you have Combat Ref lexes, you can't benefit from this feat more than once per round.
Illusive Gnome Bewilderment	TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You can use your gnome weapons in unusual ways.		PRETEXT:Prerequisites: Int 13, Combat Expertise, Gnome Weapon FocusARG, Illusive Gnome Style, Illusive Gnome Surprise, Improved Feint, gnome magic and weapon familiarity racial traits.		BENEFIT:While using Illusive Gnome Style, when you successfully use Bluff to feint against an opponent, you can pick one special weapon feature from among those listed by Illusive Gnome Surprise and deny the opponent its Dexterity modifier to AC, as normal for feinting; alternatively, you can pick two special weapon features instead of one.
Illusive Gnome Style		TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:The chaotic, somewhat random design of your racial weapons makes it easy to combine them with illusions.		PRETEXT:Prerequisites: Int 13, Combat Expertise, Gnome Weapon FocusARG, Improved Feint, base attack bonus +1, gnome magic and weapon familiarity racial traits.		BENEFIT:While feinting with a melee weapon that has “gnome” in its name, you can sacrifice a spell slot, a spell of the illusion school, or a spell from the gnome magic racial trait to gain a bonus on the skill check attempted to feint. This bonus is equal to 1 + the level of the spell sacrificed. If you sacrifice a 0-level spell, you cannot cast or sacrifice that spell again for 24 hours.
