
# Feat			Type			Pretext
Boon Companion		TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisite: Animal companion or familiar class feature.					PREABILITY:1,CATEGORY=Special Ability,TYPE.Familiar,TYPE.Animal Companion
Critical Conduit		TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisites: Deliver touch spells ability, familiar.					PREABILITY:1,CATEGORY=Special Ability,Familiar ~ Deliver Touch Spells	PRERACE:1,RACESUBTYPE=Familiar
Extra Item Slot		TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisite: Non-humanoid body shape.								!PRERACE:1,RACETYPE=Humanoid,RACETYPE=Outsider
Familiar Focus		TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisite: Familiar.										PRERACE:1,RACESUBTYPE=Familiar
Familiar Spell		TYPE:Metamagic	SOURCEPAGE:p.18	PRETEXT:Prerequisite: Spellcaster with familiar class feature.					PREABILITY:1,CATEGORY=Special Ability,TYPE.Familiar
Jumper			TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisites: Acrobatics 1 rank, creature type other than humanoid or outsider.	PRESKILL:1,Acrobatics=1	!PRERACE:1,RACETYPE=Humanoid,RACETYPE=Outsider
Lithe Attacker		TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisites: Narrow Frame, Escape Artist 5 ranks, animal or magical beast.	PREFEAT:1,Narrow Frame	PRESKILL:1,Escape Artist=5	PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast
Master Of Your Kind	TYPE:Animal		SOURCEPAGE:p.18	PRETEXT:Prerequisites: Familiar, speak with animals of its kind ability.			PRERACE:1,RACESUBTYPE=Familiar
Narrow Frame		TYPE:Animal		SOURCEPAGE:p.19	PRETEXT:Prerequisites: Escape Artist 1 rank, animal or magical beast.				PRESKILL:1,Escape Artist=1	PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast
Spell Sponge		TYPE:Animal		SOURCEPAGE:p.19	PRETEXT:Prerequisites: Animal companion or familiar, share spells ability.			PRERACE:1,RACESUBTYPE=Familiar,RACETYPE=Companion
Stable Gallop		TYPE:Animal		SOURCEPAGE:p.19	PRETEXT:Prerequisite: Animal or magical beast.								PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast
Sure-Footed			TYPE:Animal		SOURCEPAGE:p.19	PRETEXT:Prerequisite: Quadruped animal or magical beast.						PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast	PRELEGSGTEQ:4
Valiant Steed		TYPE:Animal		SOURCEPAGE:p.19	PRETEXT:Prerequisite: Animal or magical beast.								PRERACE:1,RACETYPE=Animal,RACETYPE=Magical Beast

###Block: Description Section
# Feat			Description
Boon Companion.MOD	DESC:Your bond with your animal companion or familiar is unusually close.	
Critical Conduit.MOD	DESC:You are deadly when delivering your master's magic.	
Extra Item Slot.MOD	DESC:You are able to wear magic items more easily than other creatures of your kind.	
Familiar Focus.MOD	DESC:You are closely connected to your master's powers.
Familiar Spell.MOD	DESC:You can imbue your familiar with a spell.
Jumper.MOD			DESC:You are a natural leaper.	
Lithe Attacker.MOD	DESC:Your unmatched grace allows you to strike even from the tightest crevices.	
Master Of Your Kind.MOD	DESC:When you speak to other animals of your kind, you can influence them to act according to your wishes and those of your master.	
Narrow Frame.MOD		DESC:Your excellent coordination allows you to maneuver better in close quarters.	
Spell Sponge.MOD		DESC:Your mystical connection with your spellcasting master attunes you to helpful magical effects.	
Stable Gallop.MOD		DESC:You run with a smooth and steady gait.	
Sure-Footed.MOD		DESC:Your footing is secure in unstable terrain.	
Valiant Steed.MOD		DESC:Your courage is unnaturally strong.	

###Block: Benefit Section
# Feat			Benefit
Boon Companion.MOD	BENEFIT:The abilities of your animal companion or familiar are calculated as though your class were 4 levels higher, to a maximum effective druid level equal to your character level. If you have more than one animal companion or familiar, choose one to receive this benefit. If you lose or dismiss an animal companion or familiar that has received this benefit, you may apply this feat to the replacement creature. Special: You may select this feat more than once. The effects do not stack. Each time you take the feat, it applies to a different animal companion or familiar.
Critical Conduit.MOD	BENEFIT:When delivering a touch spell for your master, the critical threat range of your touch attack is doubled. This feat does not stack with Improved Critical or other effects that increase critical threat range.
Extra Item Slot.MOD	BENEFIT:Choose one magic item slot not normally available to creatures with your shape. You can now use magic items in that slot.
Familiar Focus.MOD	BENEFIT:Whenever your master targets you with a harmless spell or spell-like ability, your master's effective caster level for the effect is increased by 1.
Familiar Spell.MOD	BENEFIT:You can transfer a prepared spell to your familiar, allowing the familiar to cast that spell at a later time. Variables that rely on caster level function according to your caster level, not your familiar's Hit Dice, though your familiar's Intelligence may influence how precisely it can follow your instructions on how to use these spells. Your familiar must be able to speak to cast spells with a verbal component (the ability to speak with its master or creatures of its kind is insufficient). Your familiar must be carrying any material or focus components necessary, unless the materials cost less than i gp and the spell is prepared with Eschew Materials. Attack rolls use your familiar's ability scores. A familiar spell counts against the number of spells you may prepare for as long as your familiar retains the spell. Once your familiar casts a retained spell, you can prepare a new spell in that slot the next time you prepare spells. A familiar spell uses up a spell slot 3 levels higher than the spell's actual level. Your familiar can store a number of spell levels (including this modifier) equal to your caster level, but no spell's adjusted level can exceed half your caster level. Special: If you are a spontaneous caster, you must select a specific spell with which to imbue your familiar; you cannot imbue your familiar with an open spell slot.
Jumper.MOD			BENEFIT:You always count as having a running start when making jump checks using Acrobatics. Acrobatics becomes a class skill for you.
