# CVS $Revision$ $Author$ -- Fri Oct  1 00:28:13 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Advanced Player's Guide	SOURCESHORT:PFAPG	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8fo1	SOURCEDATE:2010-08
# Original Entry by: Eric C. Smith (Maredudd)

# Weapon Name		Type															Nb Hands
Bomb				TYPE:Exotic.Ranged.Splash
# SIMPLE WEAPONS
# -- unarmed
# Weapon Name			Type																		Nb Hands
#Brass Knuckles			TYPE:Simple.Melee.Unarmed.Bludgeoning

# -- light melee
Cestus			TYPE:Simple.Melee.Light.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing
Stake				TYPE:Simple.Melee.Ranged.Light.Piercing.RangedPiercing

# -- 2-handers
Bayonet			TYPE:Simple.Melee.Piercing.MeleePiercing.TwoHanded
Spear (Boar)		TYPE:Simple.Melee,Piercing.MeleePiercing.Spear.TwoHanded

# Martial
# 1-handers
Sword Cane			TYPE:Martial.Melee.Piercing.MeleePiercing.Sword

# 2-handers
Bardiche			TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded
Bec de Corbin		TYPE:Martial.Melee,Bludgeoning.Piercing.MeleeBlidgeoning.MeleePiercing.Hammer.TwoHanded
Bill				TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded
Glaive-Guisarme		TYPE:Martial.Melee.Slashing.MeleeSlashing.Axe.TwoHanded
Lucern Hammer		TYPE:Martial.Melee.Bludgeoning.Piercing.MeleeBludgeoning.MeleePiercing.Hammer.TwoHanded

# --ranged
#Longbow				TYPE:Martial.Ranged.Piercing.RangedPiercing.Bow											HANDS:2
Chakram			TYPE:Martial.Ranged.Slashing.RangedSlashing
Pilum				TYPE:Martial.Ranged.Piercing.RangedPiercing.Spear

# EXOTIC
# -- light
Dagger (Swordbreaker)	TYPE:Exotic.Melee.Slashing.MeleeSlashing.Dagger

# -- 1-handers
Falcata			TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword
Khopesh			TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword
Sword (Temple)		TYPE:Exotic.Melee.Slashing.MeleeSlashing.Sword

# -- 2-handers
Spear (Chain)		TYPE:Exotic.Melee.Piercing.Slashing.MeleePiercing.MeleeSlashing.Spear.TwoHanded
Mancatcher			TYPE:Exotic.Melee.Piercing.MeleePiercing.Spear.TwoHanded

# -- ranged
Boomerang			TYPE:Exotic.Ranged.Bludgeoning.RangedBludgeoning
Crossbow (Double)		TYPE:Exotic.Ranged.Piercing.RangedPiercing.Crossbow							HANDS:2
Lasso				TYPE:Exotic.Ranged.Lasso											HANDS:2
