# CVS $Revision$ $Author$ -- Mon Jan 17 06:10:47 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Advanced Player's Guide	SOURCESHORT:PFAPG	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8fo1	SOURCEDATE:2010-08

#Urban Ranger	KEY:Ranger Archetype ~ Urban Ranger		CATEGORY:Archetype	TYPE:Archetype.RangerClassSkills.RangerFavoredTerrain.RangerEndurance.RangerHideInPlainSight						PRECLASS:1,Ranger=1	PREMULT:1,[PREABILITY:1,CATEGORY=Archetype,Ranger Archetype ~ Urban Ranger],[!PREABILITY:1,CATEGORY=Archetype,TYPE.RangerClassSkills.RangerFavoredTerrain.RangerEndurance.RangerHideInPlainSight]				DESC:For the urban ranger, the streets and sewers of the city are just as dangerous as the barren wastelands or the deep forests. An urban ranger has the following class features.																																																	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Class Skills|PRECLASS:1,Ranger=1	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Favored Community|PRECLASS:1,Ranger=3	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Trapfinding|PRECLASS:1,Ranger=3	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Push Through|PRECLASS:1,Ranger=7	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Blend In|PRECLASS:1,Ranger=12	ABILITY:Special Ability|AUTOMATIC|Urban Ranger ~ Invisibility Trick|PRECLASS:1,Ranger=17																											COST:0	SOURCEPAGE:p.129

#Favored Community.MOD	ABILITY:Special Ability|AUTOMATIC|Basic Favored Community|Ranger Favored Terrain
#
# Urban Ranger - Favored Community
#
# Ability Name			Category of Ability		Type									Visible		Required Ability									Define					Description																																															Stackable?	Multiple?	Choose		Bonus to Ability Pool																														Modify VAR									Source Page		Aspects								Description of the Benefits
Ranger Favored Community	CATEGORY:Special Ability	TYPE:Internal							VISIBLE:NO													DEFINE:FavoredCommunityPool|0																																																									BONUS:ABILITYPOOL|Favored Community|FavoredCommunityPool	BONUS:ABILITYPOOL|Favored Community|FavoredCommunityPoolBonus	BONUS:ABILITYPOOL|Favored Community Bonus|max(0,FavoredCommunityPool-1)	BONUS:VAR|FavoredCommunityPool|(classlevel("Ranger")+2)/5
#
Favored Community One		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.FavoredCommunity															DEFINE:FavoredCommunityOne|2		DESC:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityOne				MULT:NO																																															SOURCEPAGE:p.65	ASPECT:Ability Benefit|+%1|FavoredCommunityOne		BENEFIT:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityOne
Favored Community Bonus One	CATEGORY:Special Ability	TYPE:FavoredCommunityBonus					VISIBLE:DISPLAY	PREABILITY:1,CATEGORY=Special Ability,Favored Community One																																																								STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																		BONUS:VAR|FavoredCommunityOne|2
#
Favored Community Two		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.FavoredCommunity															DEFINE:FavoredCommunityTwo|2		DESC:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityTwo				MULT:NO																																															SOURCEPAGE:p.65	ASPECT:Ability Benefit|+%1|FavoredCommunityTwo		BENEFIT:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityTwo
Favored Community Bonus Two	CATEGORY:Special Ability	TYPE:FavoredCommunityBonus					VISIBLE:DISPLAY	PREABILITY:1,CATEGORY=Special Ability,Favored Community Two																																																								STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																		BONUS:VAR|FavoredCommunityTwo|2
#
Favored Community Three		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.FavoredCommunity															DEFINE:FavoredCommunityThree|2	DESC:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityThree			MULT:NO																																															SOURCEPAGE:p.65	ASPECT:Ability Benefit|+%1|FavoredCommunityThree	BENEFIT:You gain a +%1 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).|FavoredCommunityThree
Favored Community Bonus Three	CATEGORY:Special Ability	TYPE:FavoredCommunityBonus					VISIBLE:DISPLAY	PREABILITY:1,CATEGORY=Special Ability,Favored Community Three																																																							STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																		BONUS:VAR|FavoredCommunityThree|2
#
