# CVS $Revision: 21407 $ $Author: evilmynex $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Core Rulebook	SOURCESHORT:CR	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy88yj	SOURCEDATE:2009-08
# Original RSRD Entry by: abernat
# Pathfinder RPG Entry by: Stefan Radermacher

# SIMPLE WEAPONS
# -- unarmed
# Weapon Name			Type
Grapple				TYPE:Auto.Simple.Melee.Unarmed.Bludgeoning
Ray Spells			TYPE:Auto.Simple.RangedTouch.Spell
Touch Spells			TYPE:Auto.Simple.RangedTouch.Spell
Splash Weapon			TYPE:Auto.Simple.Ranged.Splash
Unarmed Strike			TYPE:Auto.Simple.Light.Melee.Unarmed.Bludgeoning
# Other
Shieldbash				TYPE:Martial.Melee.Bludgeoning.MeleeBludgeoning.OneHanded
Gauntlet				TYPE:Simple.Light.Melee.Unarmed.Bludgeoning

# -- light melee
Dagger				TYPE:Simple.Light.Melee.Ranged.Dagger.Piercing.Slashing.MeleeSlashing.MeleePiercing.RangedPiercing.RangedSlashing
Punching Dagger			TYPE:Simple.Light.Melee.Dagger.Piercing.MeleePiercing
Spiked Gauntlet			TYPE:Simple.Light.Melee.Piercing.MeleePiercing.Unarmed
Light Mace			TYPE:Simple.Light.Melee.Bludgeoning.Mace
Sickle				TYPE:Simple.Light.Melee.Slashing.Sickle.MeleeSlashing
# -- 1-handers
Club					TYPE:Simple.OneHanded.Melee.Bludgeoning.Club
Heavy Mace			TYPE:Simple.OneHanded.Melee.Bludgeoning.MeleeBludgeoning
Morningstar				TYPE:Simple.OneHanded.Melee.Bludgeoning.MeleeBludgeoning.Piercing.MeleePiercing
Shortspear				TYPE:Simple.OneHanded.Melee.Piercing.MeleePiercing.Spear
# -- 2-handers
Longspear				TYPE:Simple.TwoHanded.Melee.Piercing.MeleePiercing.Spear
Quarterstaff			TYPE:Simple.TwoHanded.Melee.Quarterstaff.DoubleWeapon.Bludgeoning.MeleeBludgeoning
Spear					TYPE:Simple.TwoHanded.Melee.Piercing.MeleePiercing.Spear
# -- Ranged
Blowgun				TYPE:Simple.Ranged.Piercing.RangedPiercing.Blowgun
Heavy Crossbow			TYPE:Simple.Ranged.Piercing.RangedPiercing.Crossbow.Archery
Light Crossbow			TYPE:Simple.Ranged.Piercing.RangedPiercing.Crossbow.Archery
Dart					TYPE:Simple.Thrown.Piercing.RangedPiercing
Javelin				TYPE:Simple.Thrown.Piercing.RangedPiercing.Spear
