# @version    $Revision$
#
# Stat definitions for Gaslight mode
#
STATNAME:Strength		SORTKEY:1	ABB:STR	KEY:STR	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=STR|STRSCORE-10		DEFINE:LOADSCORE|0	BONUS:VAR|LOADSCORE,MUSCLE|STRSCORE	DEFINE:MUSCLE|0					DEFINE:TWOHANDDAMAGEDIVISOR|0	BONUS:VAR|TWOHANDDAMAGEDIVISOR,OFFHANDLIGHTBONUS|2		BONUS:COMBAT|TOHIT.Melee|STR|TYPE=Ability	BONUS:COMBAT|DAMAGE.Melee,DAMAGE.Thrown|STR		BONUS:COMBAT|DAMAGEMULT:0|0.5	BONUS:COMBAT|DAMAGEMULT:1|1	BONUS:COMBAT|DAMAGEMULT:2|1.5		DEFINE:OFFHANDLIGHTBONUS|0	BONUS:COMBAT|TOHIT.Grapple|STR|TYPE=Ability	DEFINE:ClassSkillMax|0	ABILITY:Internal|AUTOMATIC|Default
STATNAME:Dexterity	SORTKEY:2	ABB:DEX	KEY:DEX	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=DEX|DEXSCORE-10		BONUS:COMBAT|TOHIT.RANGED|DEX	BONUS:COMBAT|AC|10|TYPE=Base				DEFINE:INITCOMP|0	BONUS:VAR|INITCOMP|DEX			DEFINE:MXDXEN|0					BONUS:COMBAT|AC|min(DEX,min(MXDXEN,MODEQUIPMAXDEX))|TYPE=Ability	BONUS:VAR|MXDXEN|1000|PREVAREQ:ENCUMBERANCE,0	BONUS:VAR|MXDXEN|3|PREVAREQ:ENCUMBERANCE,1	BONUS:VAR|MXDXEN|1|PREVAREQ:ENCUMBERANCE,2	DEFINE:FightingDefensivelyACBonus|0	DEFINE:FightingDefensivelyAC|0	DEFINE:TotalDefenseACBonus|0	DEFINE:TotalDefenseAC|0	BONUS:COMBAT|AC|max(FightingDefensivelyAC,TotalDefenseAC)|TYPE=Dodge
STATNAME:Constitution	SORTKEY:3	ABB:CON	KEY:CON	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=CON|CONSCORE-10		BONUS:HP|BONUS|CON		DEFINE:DamageThreshold|0	BONUS:VAR|DamageThreshold|CONSCORE		BONUS:HP|ALTHP|DamageThreshold
STATNAME:Intelligence	SORTKEY:4	ABB:INT	KEY:INT	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=INT|INTSCORE-10		BONUS:LANG|BONUS|1		BONUS:MODSKILLPOINTS|NUMBER|INT	DEFINE:MonsterLevel|0
STATNAME:Wisdom		SORTKEY:5	ABB:WIS	KEY:WIS	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=WIS|WISSCORE-10		DEFINE:ClassDefense|0		BONUS:COMBAT|AC|ClassDefense|TYPE=ClassDefense
STATNAME:Charisma		SORTKEY:6	ABB:CHA	KEY:CHA	STATMOD:floor(SCORE/2)-5	DEFINE:MAXLEVELSTAT=CHA|CHASCORE-10		DEFINE:Action|0	DEFINE:MaxRank|0	BONUS:VAR|MaxRank|TL+13	BONUS:VAR|ActionRemain|Action-ActionUsed	DEFINE:ActionUsed|0	DEFINE:ActionRemain|0	DEFINE:Reputation|0	DEFINE:Wealth|0

CHECKNAME:Fortitude	SORTKEY:1	BONUS:SAVE|Fortitude|CON
CHECKNAME:Reflex		SORTKEY:2	BONUS:SAVE|Reflex|DEX
CHECKNAME:Will		SORTKEY:3	BONUS:SAVE|Will|WIS

BONUSSPELLLEVEL:1	BASESTATSCORE:12	STATRANGE:8
BONUSSPELLLEVEL:2	BASESTATSCORE:14	STATRANGE:8
BONUSSPELLLEVEL:3	BASESTATSCORE:16	STATRANGE:8
BONUSSPELLLEVEL:4	BASESTATSCORE:18	STATRANGE:8
BONUSSPELLLEVEL:5	BASESTATSCORE:20	STATRANGE:8
BONUSSPELLLEVEL:6	BASESTATSCORE:22	STATRANGE:8
BONUSSPELLLEVEL:7	BASESTATSCORE:24	STATRANGE:8
BONUSSPELLLEVEL:8	BASESTATSCORE:26	STATRANGE:8
BONUSSPELLLEVEL:9	BASESTATSCORE:28	STATRANGE:8

