# Thu Aug 19 08:59:02 2021 -- reformated by PCGen PrettyLST v6.08.00


# ------------------------------
# Sylph
# ------------------------------

###Block: Racial Identifiers
# Name				Dataformat			Required	Selectable		Visible	Displayname		Explanation
FACTDEF:TEMPLATE|IsSylph	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Sylph	EXPLANATION:Determines whether the character is a Sylph

###Block: Racial Traits
# Name							Dataformat			Required	Selectable		Visible	Displayname							Explanation
FACTDEF:ABILITY|Sylph_ReplaceAbilityScores	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Ability Scores		EXPLANATION:Replaces the Dual Talent Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceType			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Type			EXPLANATION:Replaces the Type Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Size			EXPLANATION:Replaces the Size Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceSpeed			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Speed			EXPLANATION:Replaces the Speed Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceVision			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Vision			EXPLANATION:Replaces the Vision Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceSpellLikeAbility	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Spell-Like Ability	EXPLANATION:Replaces the Spell-Like Ability Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceEnergyResistance	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Energy Resistance	EXPLANATION:Replaces the Energy Resistance Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceAirAffinity		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Air Affinity		EXPLANATION:Replaces the Air Affinity Racial Trait
FACTDEF:ABILITY|Sylph_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Sylph Languages			EXPLANATION:Replaces the Languages Racial Trait
