# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document - Menace	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd
#Original Entry by: Frank Kliewe

# Language	Type				Source Page
Cat Folk	TYPE:Spoken.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Cat Folk	TYPE:Written.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Feline	TYPE:Spoken.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Feline	TYPE:Written.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Mothfolk	TYPE:Spoken.MothFolk	SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Mothfolk	TYPE:Written.MothFolk	SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Weren		TYPE:Spoken.Weren		SOURCEPAGE:MenaceCreaturesJ-Z.rtf
