# Wed May 12 12:55:42 2021 -- reformated by PCGen PrettyLST v6.08.00


# ------------------------------
# Elf
# ------------------------------

###Block: Racial Identifiers
# Name			Dataformat			Required	Selectable		Visible	Displayname		Explanation
FACTDEF:TEMPLATE|IsElf	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Elf	EXPLANATION:Determines whether the character is a Elf

###Block: Racial Traits
# Name							Dataformat			Required	Selectable		Visible	Displayname							Explanation
FACTDEF:ABILITY|Elf_ReplaceAbilityScores		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Ability Scores		EXPLANATION:Replaces the Ability Scores
FACTDEF:ABILITY|Elf_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Size				EXPLANATION:Replaces the Medium Racial Trait
FACTDEF:ABILITY|Elf_ReplaceSpeed			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Speed				EXPLANATION:Replaces the Normal Speed Racial Trait
FACTDEF:ABILITY|Elf_ReplaceVision			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Vision			EXPLANATION:Replaces the Low-Light Vision Racial Trait
FACTDEF:ABILITY|Elf_ReplaceElvenImmunities	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Elven Immunities		EXPLANATION:Replaces the Elven Immunities Racial Trait
FACTDEF:ABILITY|Elf_ReplaceElvenMagic		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Elven Magic			EXPLANATION:Replaces the Elven Magic Racial Trait
FACTDEF:ABILITY|Elf_ReplaceKeenSenses		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Keen Senses			EXPLANATION:Replaces the Keen Senses Racial Trait
FACTDEF:ABILITY|Elf_ReplaceWeaponFamiliarity	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Weapon Familiarity	EXPLANATION:Replaces the Weapon Familiarity Racial Trait
FACTDEF:ABILITY|Elf_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Elf Languages			EXPLANATION:Replaces the Languages Racial Trait
