SOURCELONG:Wrath of the Righteous Player's Guide	SOURCESHORT:WOTRPG	SOURCEWEB:http://paizo.com/store/pathfinder/adventures/adventurePath/wrathOfTheRighteous	SOURCEDATE:2012-07
# Original Entry by: Jason D (ding50@yahoo.com)

###Block: Campaign Trait mythic abilities
# Ability Name													Product Identity?	Category of Ability				Type					Multiple Requirements																				Desc is PI?		Description																																																																																																											Stackable?	Multiple?	Choose					Auto Language		Bonus Ability Pool				Bonus DC			Bonus to Situation									Bonus to skill									Modify VAR																						Class Skill				Apply Kit				Source Page		Aspects
Chance Encounter (Mythic)			KEY:Chance Encounter ~ Mythic			CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:By expending one use of mythic power, you can take 20 on an Acrobatics, Bluff, Disguise, Sleight of Hand, or Stealth check without an increase in the time required to make the check.																																			BONUS:SAVE|Reflex|2|TYPE=Trait
Child of the Crusade (Mythic)		KEY:Child of the Crusade ~ Mythic		CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:Whenever you save against a mind-affecting effect from a demon, as an immediate action you can expend one use of mythic power to cause the demon to become staggered for %1 round(s). The demon can reduce this effect to 1 round by making a successful Will save (DC %2).|MythicTierLevel|(10+MythicTierLevel+CHA)			BONUS:SAVE|Will|2|TYPE=Trait
Exposed to Awfulness (Mythic)		KEY:Exposed to Awfulness ~ Mythic		CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:When you are reduced to negative hit points by an attack or effect from a demon, as an immediate action you can expend one use of mythic power to heal damage equal to 2d6+%1. This healing occurs after the damage is done; if the damage is enough to kill you, you cannot activate this ability.|(MythicTierLevel*2)		BONUS:HP|CURRENTMAX|(TL*3)|PRERULE:1,DAMAGE_HP
Riftwarden Orphan (Mythic)			KEY:Riftwarden Orphan ~ Mythic			CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:You gain a +4 trait bonus on caster level checks to penetrate a demon's spell resistance. Once per day, youcan recharge a charged magic item by expending one use of mythic power. Doing so adds a number of charges equal to 1d10+%1 to the item, up to its normal maximum number of charges.|MythicTierLevel
Stolen Fury (Mythic)				KEY:Stolen Fury ~ Mythic				CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:By expending one use of mythic power as a swift action, you can ignore a single demon's damage reduction for 1 minute, and increases the critical multiplier of any weapon you wield against that demon by 1.																													BONUS:SAVE|Fortitude|2|TYPE=Trait
Touched by Divinity (Mythic)		KEY:Touched by Divinity ~ Mythic		CATEGORY:Special Ability	TYPE:Mythic Path Feature.SpecialQuality			DESC:By expending one use of mythic power, you may use any of your two selected domains' spells as a spell-like ability, but may only use spells of a level equal to or less than your mythic tier (%1).|MythicTierLevel																											BONUS:ABILITYPOOL|Touched by Divinity Domain Choice|1		BONUS:VAR|TbdTimesPerDay|(MythicTierLevel-1)


###Block: MODding the traits for mythic abilities
CATEGORY=Special Ability|Chance Encounter.MOD					ABILITY:Special Ability|AUTOMATIC|Chance Encounter ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Trickster
CATEGORY=Special Ability|Child of the Crusade.MOD				ABILITY:Special Ability|AUTOMATIC|Child of the Crusade ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Marshal
CATEGORY=Special Ability|Exposed to Awfulness.MOD				ABILITY:Special Ability|AUTOMATIC|Exposed to Awfulness ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Guardian
CATEGORY=Special Ability|Riftwarden Orphan.MOD					ABILITY:Special Ability|AUTOMATIC|Riftwarden Orphan ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Archmage
CATEGORY=Special Ability|Stolen Fury.MOD						ABILITY:Special Ability|AUTOMATIC|Stolen Fury ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Champion
CATEGORY=Special Ability|Touched by Divinity.MOD				ABILITY:Special Ability|AUTOMATIC|Touched by Divinity ~ Mythic|PREABILITY:1,CATEGORY=Special Ability,Mythic Path ~ Hierophant
