# CVS $Revision$ $Author$ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)



Psicrystal.MOD	BONUS:SKILL|Climb|DEX-STR	MONCSKILL:Climb|Move Silently|Spot



###Block: Familiars
#Bat,Cat,Hawk,Lizard,Owl,Rat,Raven,Snake (Viper/Tiny),Toad,Weasel
# Race Name			Race Subtype
Bat.MOD			RACESUBTYPE:Familiar
Cat.MOD			RACESUBTYPE:Familiar
Hawk.MOD			RACESUBTYPE:Familiar
Lizard.MOD			RACESUBTYPE:Familiar
Owl.MOD			RACESUBTYPE:Familiar
Rat.MOD			RACESUBTYPE:Familiar
Raven.MOD			RACESUBTYPE:Familiar
Snake (Tiny Viper).MOD	RACESUBTYPE:Familiar
Toad.MOD			RACESUBTYPE:Familiar
Weasel.MOD			RACESUBTYPE:Familiar
